"x2univ1","x2univ2a","x2univ2b","w1student","w1parent","w1mathtch","w1scitch","w2student","w2w1stu"
"11",1,1,375.667105,470.250141,423.23862,393.169508,365.607062,363.091114
"11",1,1,189.309446,224.455466,329.640843,207.892322,196.338045,193.466338
"11",1,1,143.591863,185.301339,231.718703,0,137.678887,141.015287
"10",1,7,227.937019,301.431713,261.518593,306.102816,0,0
"11",1,1,145.019401,190.834136,169.946035,188.432535,134.566242,135.640155
"11",1,1,56.347833,74.614672,69.694193,73.594235,56.495653,58.136752
"11",1,1,320.026658,379.440827,0,351.440915,314.962008,312.026113
"11",1,1,62.907296,93.17427,20.207873,0,56.404568,55.470493
"11",1,1,214.147657,284.880923,0,0,218.081028,220.356034
"11",1,1,161.738855,242.626125,354.278169,318.458929,162.112107,165.555165
"11",1,1,37.742012,50.678396,0,0,37.877618,38.42621
"11",1,1,25.551778,32.865041,43.068248,34.990715,40.514546,39.612173
"11",1,1,95.755934,125.45771,113.86822,121.452023,85.91353,89.641859
"10",1,7,304.155667,386.705722,409.36983,326.269249,0,0
"11",1,1,121.737188,148.274433,136.853714,158.271519,83.389732,91.354387
"11",1,1,271.351509,338.579306,287.417559,291.031067,268.451263,268.941203
"11",1,1,20.072959,20.98328,0,17.960367,16.821742,18.30161
"11",1,1,222.457595,0,292.066223,324.838061,221.017786,317.814042
"11",1,1,209.052111,259.755424,373.261471,292.838682,218.983177,214.379641
"11",1,1,235.185597,304.28972,291.825419,292.84196,270.076584,271.91449
"11",1,1,106.096819,131.554202,0,0,161.291674,244.509684
"11",1,1,238.430919,308.488609,295.852314,296.882882,230.73009,236.089699
"11",1,6,193.09756,0,344.774702,270.489662,316.92364,405.3632
"11",1,1,4.062062,5.410862,5.531581,4.644466,3.978862,3.977206
"11",1,1,79.301312,95.752356,0,0,79.224366,92.389816
"01",2,1,0,0,0,0,134.262508,0
"10",1,7,146.949832,197.536648,196.091217,216.725646,0,0
"11",1,1,183.748917,239.982577,252.620042,272.877808,174.925886,177.268197
"01",2,1,0,0,0,0,456.467737,0
"10",1,7,175.675919,232.319846,201.557954,235.919964,0,0
"11",1,1,263.201299,0,338.876639,419.442777,348.381975,455.165118
"01",2,1,0,0,0,0,154.535816,0
"11",1,1,66.559951,79.352302,67.446316,0,63.683877,66.325735
"11",1,1,320.695317,425.433307,0,0,313.439571,315.630498
"11",1,2,167.589104,206.287843,246.570119,0,168.037972,174.64551
"11",1,1,95.750089,121.330474,166.898266,171.115154,95.790493,96.388099
"10",1,7,70.885832,0,46.417132,0,0,0
"11",1,2,148.165977,195.939757,0,0,185.108108,188.627496
"10",1,7,31.172024,0,0,42.344314,0,0
"11",1,1,126.029732,0,0,0,242.425214,290.23212
"11",1,1,50.010714,55.471429,52.941211,53.368601,45.857895,48.528001
"11",1,5,117.489809,151.116978,198.032413,0,120.83016,117.542933
"11",1,1,517.03792,0,0,703.577575,634.504278,759.05067
"01",2,1,0,0,0,0,281.091065,0
"11",1,1,207.200929,0,349.000606,0,343.654457,400.466447
"11",1,1,272.351897,307.747273,449.342313,408.17024,246.768203,271.552507
"11",1,1,116.146305,155.015074,254.411793,0,124.606051,127.221869
"11",1,1,71.356182,0,0,92.770759,89.52129,91.713433
"10",1,7,86.729843,116.783739,116.72454,110.635099,0,0
"11",1,1,243.802504,301.960846,434.710173,346.788575,248.500984,241.235131
"11",1,1,61.67686,83.958038,60.103405,55.256882,64.367704,63.925988
"11",1,1,254.576149,309.274952,271.163654,306.452223,258.477513,264.554726
"01",2,1,0,0,0,0,103.623943,0
"11",1,1,15.007569,19.174895,19.998867,22.461705,14.54933,13.974012
"01",2,1,0,0,0,0,108.338033,0
"11",1,1,284.954144,368.781812,0,0,257.34319,262.501383
"10",1,7,23.685419,0,41.737441,0,0,0
"11",1,1,100.198779,127.815499,137.79026,144.022802,98.388992,97.35845
"11",1,1,26.952704,0,30.828488,0,31.609453,34.61478
"11",1,1,144.268322,186.877048,186.331907,203.871001,146.615188,145.122636
"11",1,1,118.407336,156.585912,135.852087,159.012428,120.301056,120.889311
"11",1,1,69.98698,75.83741,0,46.018084,76.320512,77.954742
"11",1,1,55.839279,80.350735,63.868937,0,39.571158,40.009526
"11",1,1,81.791014,0,101.163761,0,91.564313,99.721788
"11",1,1,178.745637,238.200888,122.925733,221.470026,174.876262,179.18715
"11",1,1,356.427417,443.331558,0,0,496.777699,608.209945
"11",1,1,360.134739,0,383.60016,433.520939,421.270659,493.218122
"11",1,3,182.002098,225.636579,242.912989,225.873495,196.982698,199.305435
"11",1,3,147.726042,230.307263,0,205.129664,160.883806,166.439704
"11",1,2,219.866591,288.397573,0,290.855398,214.453108,218.132384
"01",2,6,0,0,0,0,61.790659,0
"11",1,1,226.686371,284.09239,268.072856,279.155383,236.538752,236.382201
"11",1,1,197.854497,271.631646,0,0,199.772723,197.276778
"11",1,1,225.104185,290.502855,0,384.54548,244.134533,254.509783
"11",1,1,269.932929,368.125254,307.447438,0,259.226052,262.862614
"01",2,1,0,0,0,0,73.280114,0
"01",2,1,0,0,0,0,173.580484,0
"11",1,1,75.103619,99.123894,49.179004,85.796753,73.989673,76.779345
"11",1,1,227.670247,0,290.697725,0,274.134716,298.368073
"11",1,1,27.463699,0,35.12527,33.903885,25.480356,32.655191
"11",1,1,112.722487,148.774348,0,128.771736,125.818362,130.79972
"11",1,1,5.999714,0,8.170211,0,6.796748,7.958021
"11",1,1,453.606899,623.233954,698.276928,0,454.50982,456.108808
"11",1,1,118.407336,156.585912,135.852087,159.012428,119.371081,119.848307
"11",1,1,153.12385,207.237459,0,298.867492,280.590473,303.302841
"11",1,6,121.847384,0,0,0,196.642406,361.497536
"11",1,1,56.470121,76.064378,70.582867,74.789123,59.997073,60.576091
"10",1,7,295.519666,384.863181,0,440.008395,0,0
"11",1,1,393.315342,539.141935,661.245831,0,408.705395,411.691931
"11",1,1,177.336806,276.470918,271.544719,246.246626,220.76089,227.055696
"11",1,1,114.073272,165.355074,126.770532,0,130.180834,175.025641
"11",1,1,78.675292,98.386283,0,116.059751,78.95945,80.88321
"11",1,1,86.443169,118.853546,101.938298,0,91.801933,93.667124
"10",1,7,55.824722,0,0,0,0,0
"11",1,1,61.660181,83.314079,110.901855,0,62.068847,65.060298
"01",2,1,0,0,0,0,228.374994,0
"10",1,7,58.594093,0,73.237652,77.602115,0,0
"11",1,1,80.9134,97.698871,145.587148,128.273496,79.83512,83.410789
"11",1,1,514.061403,706.295522,791.339855,728.730654,521.966175,523.178165
"11",1,1,393.315342,539.141935,661.245831,491.920249,415.59279,419.342726
"11",1,1,38.776062,54.010886,55.393264,54.113238,39.239959,39.435941
"11",1,1,142.840631,176.707919,0,248.750264,138.002687,138.637852
"11",1,1,425.56926,0,0,0,458.101289,717.406119
"11",1,1,177.966116,235.818987,0,263.222345,184.123579,189.421549
"11",1,1,22.863094,29.355361,39.727276,23.00561,21.745619,21.497173
"11",1,1,130.220925,163.244236,132.720914,133.146286,139.550412,138.404908
"10",1,7,304.911289,387.008305,234.192756,0,0,0
"11",1,1,206.604349,305.978669,295.612824,325.021257,195.923438,199.125428
"11",1,1,648.848166,808.174425,845.157941,774.230108,664.997653,673.736417
"11",1,1,200.167571,250.857974,0,246.49852,194.14915,197.01845
"11",1,1,86.285131,119.009973,0,0,96.387895,95.32569
"11",1,3,280.247027,405.646791,0,366.222665,341.184234,336.543099
"11",1,1,219.196601,280.356619,346.515901,416.334601,245.868117,252.9332
"11",1,1,140.557491,208.164031,0,221.119123,171.407606,172.466943
"11",1,1,67.122579,0,95.887477,0,73.308493,87.563614
"01",2,1,0,0,0,0,118.452347,0
"11",1,1,50.403211,0,62.061598,68.564697,63.386528,73.189097
"11",1,1,119.321673,161.175097,0,0,89.608195,91.094193
"11",1,1,206.059857,281.572883,346.100547,269.317009,207.188936,208.30454
"11",1,1,43.587879,58.872535,78.379777,59.552744,45.100024,47.25599
"11",1,1,149.55256,196.557808,178.702457,181.082182,137.332923,357.223634
"11",1,1,215.505444,277.931141,253.980075,273.575327,251.246518,245.881882
"11",1,1,733.058593,902.332386,0,0,705.019474,1004.043963
"11",1,1,138.505879,171.345405,196.4871,0,133.13551,133.601602
"10",1,9,157.735503,205.722005,253.041072,231.922554,0,0
"10",1,7,87.645625,118.016861,117.957036,0,0,0
"11",1,4,89.124507,0,102.25507,119.687722,108.256309,129.488999
"11",1,1,141.548858,191.198718,0,0,148.737464,150.337645
"11",1,1,376.334905,520.206319,677.415379,0,364.812414,370.866263
"11",1,2,96.993689,0,125.799036,122.327754,90.853408,121.154584
"11",1,1,302.108636,405.236803,0,446.540427,297.382607,336.983117
"11",1,1,66.64341,113.484268,109.758658,0,69.520017,68.26557
"11",1,1,650.524251,0,864.9737,895.549866,780.005732,790.342635
"11",1,1,12.281126,17.379647,0,0,11.860856,11.945362
"11",1,1,126.823072,168.25576,153.607029,167.375207,135.520899,138.259962
"11",1,1,435.173381,633.520351,606.717233,500.886911,470.951735,476.953592
"11",1,5,67.474079,99.938297,0,0,74.963434,73.853327
"10",1,7,182.261926,0,252.762042,221.7,0,0
"11",1,1,220.267698,298.783841,251.899342,280.160884,224.580605,229.001183
"11",1,1,54.696727,60.669111,57.901812,58.369248,52.99339,55.190615
"01",2,1,0,0,0,0,193.485856,0
"11",1,1,351.143773,467.327605,427.288982,443.818846,328.984137,533.633893
"11",1,1,84.388076,113.620649,89.352568,98.424745,77.76731,78.166497
"11",1,1,17.536653,21.571715,12.750296,18.503091,17.754837,19.930367
"11",1,1,315.644153,420.082136,0,0,342.41976,346.7568
"11",1,1,230.246424,292.24001,176.845025,252.242471,236.280262,240.243733
"11",1,1,200.110095,236.745693,0,0,197.404622,197.698156
"11",1,1,226.686371,284.09239,0,279.155383,226.031939,226.061354
"11",1,1,59.466003,78.156517,71.056763,0,72.254623,73.148234
"11",1,1,158.327718,218.478618,189.607683,187.89938,146.394382,146.271367
"11",1,1,105.890776,123.680236,131.225296,98.566507,94.901835,96.053866
"11",1,1,19.976684,24.938683,31.991364,0,18.41441,18.288555
"01",2,1,0,0,0,0,84.17246,0
"11",1,1,231.590697,308.217699,0,292.712911,240.339174,240.499997
"11",1,1,219.358921,0,313.862271,345.086213,277.693801,348.86711
"11",1,1,45.379874,50.334943,48.039016,48.426831,45.688267,47.749451
"11",1,1,478.140173,598.523216,538.688068,500.416816,416.226207,415.122557
"11",1,1,9.673618,13.695507,9.495876,9.799303,9.511498,9.609555
"11",1,1,44.128041,48.78916,0,48.232086,42.215331,44.100957
"11",1,1,234.767819,302.773269,276.681402,298.028123,283.500264,286.106862
"11",1,1,86.214769,102.784637,87.362873,0,73.270907,77.645766
"11",1,1,115.737502,0,147.724382,156.769647,144.039176,172.161628
"11",1,1,62.601371,0,30.270828,0,71.506907,75.566316
"10",1,9,184.643988,244.966582,223.639233,0,0,0
"11",1,1,273.361746,352.780503,0,0,283.142022,276.855826
"01",2,1,0,0,0,0,7.159508,0
"10",1,7,76.900239,115.998996,96.630794,108.598617,0,0
"01",2,1,0,0,0,0,87.848067,0
"10",1,7,99.347415,113.560882,115.270094,0,0,0
"11",1,1,185.647599,243.512745,205.363511,245.588046,176.710195,178.850595
"11",1,1,318.993606,422.691413,445.300088,471.81029,291.373228,300.18071
"01",2,1,0,0,0,0,110.081409,0
"11",1,1,219.411721,284.82769,355.349117,330.98093,206.377779,214.217444
"01",2,1,0,0,0,0,181.407084,0
"11",1,1,208.478301,0,279.175523,327.710022,248.553168,297.228327
"11",1,2,177.770901,215.295885,0,0,211.966109,218.545765
"11",1,1,13.596202,27.150261,20.336906,13.700956,12.366359,12.114142
"11",1,1,272.351897,307.747273,449.342313,408.17024,262.873647,290.459753
"11",1,1,38.880415,43.125802,41.158705,41.490976,39.968009,41.575648
