id,createddatetime,postedtime,body,retweetcount,title,subtitle,summary,verb,userid,content,generator,geotype,language,favcount,urls,inreplyto,locationname,objecttype,nsale,provider,hashtags,expandedurl,kloutscore,rule,profilelocationtype,profilelocationlatitude,profilelocationlongitude,profilelocationcoordinates,kloutprofileid,profilelocationcountry,profilelocationlocality,profilelocationregion,id,displayname,followerscount,friendscount,listedcount,image,languages,link,locationdisplayname,preferredusername,statusescount,summary,twittertimezone,utcoffset,favoritescount
tag:search.twitter.com2005:376476992188583937,3000-01-01 00:00:00,2013-09-07 22:48:04,On the runway in the Theatre next its @M_Lhuillier #nyfw #mbfw,0,"","","",post,id:twitter.com:188778842,"",TweetDeck,"",en,-1,"","","",activity,f,Twitter,nyfw;mbfw,"",51,"contains:""@m_lhuillier""",point,43.00035,-75.4999,,,United States,"",New York,id:twitter.com:188778842,Fashion Monitor USA,2573,2015,30,https://si0.twimg.com/profile_images/1120420728/Twitter_FM_normal.jpg,en,http://www.twitter.com/FashionMonUSA,New York,FashionMonUSA,3012,Fashion and beauty media contacts news and events calendar for industry insiders. Also follow @Fashion_Monitor,Amsterdam,3600,
tag:search.twitter.com2005:376478419074437120,3000-01-01 00:00:00,2013-09-07 22:53:44,Models hair and make up ready thanks to @Moroccanoil @MACcosmetics @butterLONDON #backstage #nyfw #mbfw #ss14 http://t.co/AvDs5Ox2d5,0,"","","",post,id:twitter.com:79398281,"",Twitter for iPhone,"",en,-1,http://t.co/AvDs5Ox2d5 ,"","",activity,f,Twitter,backstage;nyfw;mbfw;ss14,"",61,"""maccosmetics""",point,34.05223,-118.24368,,,United States,Los Angeles,California,id:twitter.com:79398281,Monique Lhuillier,23886,141,401,https://si0.twimg.com/profile_images/2370511568/m9a1a64pzsbl6gi8ef0d_normal.jpeg,en,http://www.twitter.com/M_Lhuillier,Los Angeles,M_Lhuillier,1222,Designer,Pacific Time (US & Canada),-28800,
tag:search.twitter.com2005:376479066507186176,3000-01-01 00:00:00,2013-09-07 22:56:18,Up next is @M_Lhuillier - Streaming live from #NYFW Runway - Watch here: http://t.co/tYdCBGmita #mbfw,0,"","","",post,id:twitter.com:21239274,"",Twitter for iPhone,"",en,-1,http://t.co/tYdCBGmita ,"","",activity,f,Twitter,NYFW;mbfw,http://bit.ly/1cIvS1D ,61,"contains:""@m_lhuillier""",point,40.71427,-74.00597,,,United States,New York City,New York,id:twitter.com:21239274,FashionistaNYC,7707,2649,261,https://si0.twimg.com/profile_images/2168478117/FDG-GOLD-180-on-black_normal.png,en,http://www.twitter.com/FashionistaNYC,NYC,FashionistaNYC,15817,Fashion Editor for The Examiner News and Blogger for Fashion Development Group. Social Media Junky and Certified Shopaholic.,Eastern Time (US & Canada),-14400,
tag:search.twitter.com2005:376482114361106432,3000-01-01 00:00:00,2013-09-07 23:08:25,Video: #lacoste #ss14 #nyfw #mbfw #iphoneonly (at The Theatre At MBFW) http://t.co/hSdEjrRasj,0,"","","",post,id:twitter.com:28959037,"",Tumblr,"",en,-1,http://t.co/hSdEjrRasj ,"","",activity,f,Twitter,lacoste;ss14;nyfw;mbfw;iphoneonly,http://tmblr.co/ZFYGaxuREbxB ,27,"contains:""#lacoste"";""lacoste""",point,40.71427,-74.00597,,,United States,New York City,New York,id:twitter.com:28959037,wei wei liao,57,85,3,https://si0.twimg.com/profile_images/2415855768/u0h971377s47pl9clfnd_normal.jpeg,en,http://www.twitter.com/weiweiliao,NYC,weiweiliao,4151,currently based in NY and from TW. luv fashion music food and crazy ppl.,Eastern Time (US & Canada),-14400,
tag:search.twitter.com2005:376483670887899137,3000-01-01 00:00:00,2013-09-07 23:14:36,People getting seated for Monique Lhuillier. #nyfw #fonyfw #fashion #mbfw http://t.co/kHfhdMMoYH,0,"","","",post,id:twitter.com:141238325,"",Facebook,"",en,-1,http://t.co/kHfhdMMoYH ,"","",activity,f,Twitter,nyfw;fonyfw;fashion;mbfw,http://fb.me/1SLafWwHT ,42,"""monique lhuillier""",point,19,-70.66667,,,Dominican Republic,"","",id:twitter.com:141238325,Dilia Oviedo,391,830,14,https://si0.twimg.com/profile_images/3677939945/f2d7b9ca54f7f35a336a7c6a4591106b_normal.jpeg,en,http://www.twitter.com/DiOvPhotography,Dominican Republic,DiOvPhotography,4872,"27 years.
Dominican.
Photographer.",Greenland,-7200,
tag:search.twitter.com2005:376483771802865664,3000-01-01 00:00:00,2013-09-07 23:15:00,RT @MBfashionweek: Really she`s amazing @m_lhuillier #Spring2014 #sneakpeek #backstage #MBFW #NYC http://t.co/250WMQj8uW,2,"","","",share,id:twitter.com:47874331,"",web,"",en,-1,http://t.co/250WMQj8uW ,"","",activity,f,Twitter,Spring2014;sneakpeek;backstage;MBFW;NYC,http://instagram.com/p/d-irPKHtOI/ ,47,"contains:""@m_lhuillier""",point,43.73141,7.41903,,,Monaco,"","",id:twitter.com:47874331,P.R Price,1180,145,14,https://si0.twimg.com/profile_images/1244428887/1817227869_1a869085ff_normal.jpg,en,http://www.twitter.com/Peter_Mars,"",Peter_Mars,68869,"",Athens,10800,
tag:search.twitter.com2005:376483806619770880,3000-01-01 00:00:00,2013-09-07 23:15:08,RT @MBfashionweek: The bridal &amp; ready-to-wear talent @m_lhuillier #Spring2014 is streaming LIVE from the #MBFW runway to your screen: http:…,2,"","","",share,id:twitter.com:47874331,"",web,"",en,-1,http://t.co/meSy7k0W22 ,"","",activity,f,Twitter,Spring2014;MBFW,"",47,"contains:""@m_lhuillier""",point,43.73141,7.41903,,,Monaco,"","",id:twitter.com:47874331,P.R Price,1180,145,14,https://si0.twimg.com/profile_images/1244428887/1817227869_1a869085ff_normal.jpg,en,http://www.twitter.com/Peter_Mars,"",Peter_Mars,68869,"",Athens,10800,
tag:search.twitter.com2005:376484243922501633,3000-01-01 00:00:00,2013-09-07 23:16:53,RT @MBfashionweek: Really she`s amazing @m_lhuillier #Spring2014 #sneakpeek #backstage #MBFW #NYC http://t.co/250WMQj8uW,4,"","","",share,id:twitter.com:84606505,"",Twitter for BlackBerry®,"",en,-1,http://t.co/250WMQj8uW ,"","",activity,f,Twitter,Spring2014;sneakpeek;backstage;MBFW;NYC,http://instagram.com/p/d-irPKHtOI/ ,18,"contains:""@m_lhuillier""",point,-29,24,,,South Africa,"","",id:twitter.com:84606505,Lucky Mvelase,13,66,1,https://si0.twimg.com/profile_images/1834316460/295740_1951731674833_1288887726_31742737_4889772_n_normal.jpg,en,http://www.twitter.com/Twevil_,SOUTH AFRICA,Twevil_,146,AMBIVERT,Greenland,-7200,
tag:search.twitter.com2005:376484868299182080,3000-01-01 00:00:00,2013-09-07 23:19:22,39 looks about to grace the runway with elegance @M_Lhuillier #NYFW #mbfw http://t.co/jtTIfBxftM,0,"","","",post,id:twitter.com:21239274,"",Twitter for iPhone,"",en,-1,http://t.co/jtTIfBxftM ,"","",activity,f,Twitter,NYFW;mbfw,"",61,"contains:""@m_lhuillier""",point,40.71427,-74.00597,,,United States,New York City,New York,id:twitter.com:21239274,FashionistaNYC,7707,2649,261,https://si0.twimg.com/profile_images/2168478117/FDG-GOLD-180-on-black_normal.png,en,http://www.twitter.com/FashionistaNYC,NYC,FashionistaNYC,15817,Fashion Editor for The Examiner News and Blogger for Fashion Development Group. Social Media Junky and Certified Shopaholic.,Eastern Time (US & Canada),-14400,
tag:search.twitter.com2005:376486969095634944,3000-01-01 00:00:00,2013-09-07 23:27:42,RT @MBfashionweek: Really she`s amazing @m_lhuillier #Spring2014 #sneakpeek #backstage #MBFW #NYC http://t.co/250WMQj8uW,13,"","","",share,id:twitter.com:41579342,"",Twitter for Android,"",en,-1,http://t.co/250WMQj8uW ,"","",activity,f,Twitter,Spring2014;sneakpeek;backstage;MBFW;NYC,http://instagram.com/p/d-irPKHtOI/ ,40,"contains:""@m_lhuillier""",point,30.26715,-97.74306,,,United States,Austin,Texas,id:twitter.com:41579342,Michelle Washington,346,60,7,https://si0.twimg.com/profile_images/1082343907/Work_normal.jpg,en,http://www.twitter.com/StylistMichelle,Austin TX,StylistMichelle,3901,Fashion Stylist...Not Cocky Just Confident,Central Time (US & Canada),-18000,
