pos,name,price
1,"Boston, MA",185,
2,"New York, NY",180,
3,"San Francisco, CA",165,
4,"Cambridge, MA",155,
5,"Scottsdale, AZ",143,
6,"Charleston, SC",140,
7,"Charlotte, NC",140,
8,"Miami, FL",135,
9,"Las Vegas, NV",135,
10,"Chicago, IL",130,
11,"Washington, DC",130,
12,"Manchester, NH",126,
13,"St Louis, MO",125,
14,"Philadelphia, PA",125,
15,"San Jose, CA",125,
16,"Pasadena, CA",125,
17,"New Orleans, LA",125,
18,"San Diego, CA",125,
19,"Savannah, GA",120,
20,"Los Angeles, CA",120,
21,"Providence, RI",118,
22,"Indianapolis, IN",115,
23,"Austin, TX",115,
24,"Berkeley, CA",112,
25,"Kansas City, KS",110,
26,"Louisville, KY",110,
27,"Honolulu, HI",109,
28,"Seattle, WA",109,
29,"Boulder, CO",106,
30,"Minneapolis, MN",105,
31,"Santa Clara, CA",102,
32,"Atlanta, GA",101,
33,"Nashville, TN",100,
34,"Long Beach, CA",100,
35,"Houston, TX",100,
36,"Alexandria, VA",100,
37,"Fort Lauderdale, FL",100,
38,"St Petersburg, FL",100,
39,"Wilmington, NC",99,
40,"Oakland, CA",98,
41,"Pittsburgh, PA",97,
42,"Ann Arbor, MI",97,
43,"Portland, OR",96,
44,"Baltimore, MD",95,
45,"Hollywood, FL",93,
46,"Jersey City, NJ",90,
47,"Denver, CO",89,
48,"Glendale, CA",89,
49,"Santa Rosa, CA",89,
50,"Columbus, OH",89,
51,"Dallas, TX",89,
52,"Buffalo, NY",85,
53,"Salt Lake City, UT",85,
54,"Durham, NC",85,
55,"New Haven, CT",85,
56,"Phoenix, AZ",83,
57,"Eugene, OR",80,
58,"Orlando, FL",79,
59,"Memphis, TN",79,
60,"Clearwater, FL",77,
61,"Madison, WI",75,
62,"Richmond, VA",75,
63,"Detroit, MI",75,
64,"Tucson, AZ",75,
65,"Albuquerque, NM",75,
