pos,name,price
1,"New York, NY",245,
2,"San Francisco, CA",229,
3,"Boston, MA",229,
4,"Seattle, WA",224,
5,"Cambridge, MA",222,
6,"Honolulu, HI",204,
7,"Chicago, IL",199,
8,"Charleston, SC",197,
9,"Providence, RI",183,
10,"Santa Rosa, CA",180,
11,"San Diego, CA",175,
12,"Baltimore, MD",169,
13,"Buffalo, NY",164,
14,"Boulder, CO",164,
15,"Jersey City, NJ",153,
16,"Detroit, MI",149,
17,"Philadelphia, PA",149,
18,"Washington, DC",149,
19,"Berkeley, CA",145,
20,"Minneapolis, MN",145,
21,"Pittsburgh, PA",137,
22,"New Orleans, LA",137,
23,"New Haven, CT",134,
24,"Ann Arbor, MI",129,
25,"Los Angeles, CA",126,
26,"St Louis, MO",119,
27,"Miami, FL",118,
28,"Kansas City, KS",116,
29,"Wilmington, NC",115,
30,"Denver, CO",115,
31,"Portland, OR",114,
32,"Glendale, CA",114,
33,"Indianapolis, IN",110,
34,"Austin, TX",110,
35,"Savannah, GA",109,
36,"Atlanta, GA",107,
37,"Charlotte, NC",105,
38,"Manchester, NH",104,
39,"Santa Clara, CA",104,
40,"Columbus, OH",101,
41,"St Petersburg, FL",100,
42,"Nashville, TN",100,
43,"San Jose, CA",99,
44,"Pasadena, CA",99,
45,"Oakland, CA",98,
46,"Orlando, FL",95,
47,"Louisville, KY",94,
48,"Las Vegas, NV",94,
49,"Alexandria, VA",94,
50,"Long Beach, CA",92,
51,"Richmond, VA",92,
52,"Memphis, TN",91,
53,"Fort Lauderdale, FL",90,
54,"Madison, WI",90,
55,"Hollywood, FL",89,
56,"Dallas, TX",89,
57,"Eugene, OR",89,
58,"Scottsdale, AZ",87,
59,"Houston, TX",87,
60,"Salt Lake City, UT",85,
61,"Durham, NC",78,
62,"Albuquerque, NM",74,
63,"Clearwater, FL",69,
64,"Tucson, AZ",69,
65,"Phoenix, AZ",67,
