"r"	"g"	"b"	"cust_skey"	"r_perc"	"g_perc"	"b_perc"	"color_name"	"rank"
255	218	185	4870931	1	0.854901960784314	0.725490196078431	"Peach Puff"	20
245	222	179	4870931	0.96078431372549	0.870588235294118	0.701960784313725	"Wheat"	33
222	184	135	4870931	0.870588235294118	0.72156862745098	0.529411764705882	"Burlywood"	25
222	184	135	1362663	0.870588235294118	0.72156862745098	0.529411764705882	"Burlywood"	25
245	222	179	1362663	0.96078431372549	0.870588235294118	0.701960784313725	"Wheat"	33
255	218	185	1362663	1	0.854901960784314	0.725490196078431	"Peach Puff"	20
46	45	50	10645634381	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
0	0	0	10645634381	0	0	0	"Black"	145
245	245	245	5105304	0.96078431372549	0.96078431372549	0.96078431372549	"White Smoke"	133
230	230	250	5105304	0.901960784313726	0.901960784313726	0.980392156862745	"Lavender"	93
245	245	245	5105304	0.96078431372549	0.96078431372549	0.96078431372549	"White Smoke"	133
230	230	250	5105304	0.901960784313726	0.901960784313726	0.980392156862745	"Lavender"	93
210	180	140	5105304	0.823529411764706	0.705882352941177	0.549019607843137	"Tan"	27
222	184	135	5105304	0.870588235294118	0.72156862745098	0.529411764705882	"Burlywood"	25
46	45	50	3743067	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
46	45	50	9251176	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
245	222	179	3743067	0.96078431372549	0.870588235294118	0.701960784313725	"Wheat"	33
230	230	250	148449073	0.901960784313726	0.901960784313726	0.980392156862745	"Lavender"	93
245	245	245	148449073	0.96078431372549	0.96078431372549	0.96078431372549	"White Smoke"	133
210	180	140	148449073	0.823529411764706	0.705882352941177	0.549019607843137	"Tan"	27
222	184	135	148449073	0.870588235294118	0.72156862745098	0.529411764705882	"Burlywood"	25
222	184	135	6734262424	0.870588235294118	0.72156862745098	0.529411764705882	"Burlywood"	25
210	180	140	6734262424	0.823529411764706	0.705882352941177	0.549019607843137	"Tan"	27
188	143	143	6734262424	0.737254901960784	0.56078431372549	0.56078431372549	"Rosy Brown"	1
245	222	179	6734262424	0.96078431372549	0.870588235294118	0.701960784313725	"Wheat"	33
245	245	245	8886044994	0.96078431372549	0.96078431372549	0.96078431372549	"White Smoke"	133
46	45	50	5601049	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
248	248	255	2437656587	0.972549019607843	0.972549019607843	1	"Ghost White"	127
240	248	255	2437656587	0.941176470588235	0.972549019607843	1	"Alice Blue"	125
46	45	50	25030049	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
47	79	79	25030049	0.184313725490196	0.309803921568627	0.309803921568627	"Dark Slate Gray"	143
0	0	0	6140865376	0	0	0	"Black"	145
46	45	50	6140865376	0.180392156862745	0.176470588235294	0.196078431372549	"Black (Custom)"	144
211	211	211	8834470740	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
250	235	215	8834470740	0.980392156862745	0.92156862745098	0.843137254901961	"Antique White"	26
250	235	215	8070697	0.980392156862745	0.92156862745098	0.843137254901961	"Antique White"	26
211	211	211	8070697	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
211	211	211	2790504387	0.827450980392157	0.827450980392157	0.827450980392157	"Light Gray"	135
250	235	215	2790504387	0.980392156862745	0.92156862745098	0.843137254901961	"Antique White"	26
210	180	140	14738636	0.823529411764706	0.705882352941177	0.549019607843137	"Tan"	27
188	143	143	14738636	0.737254901960784	0.56078431372549	0.56078431372549	"Rosy Brown"	1
