type,lat,lon,address,city,state,zip
MC,39.561128,-95.123143,118 S 8TH,ATCHISON,KS,66002-2743
MC,39.713086,-94.872776,6018 LAKE AVE,ST. JOSEPH,MO,64506
MC,39.285925,-94.904437,3121 SOUTH 4TH ST. TRAFFICWAY,LEAVENWORTH,KS,66048-5005
MC,39.734198,-94.80056,3417 S BELT HWY,ST. JOSEPH,MO,64506
MC,39.725089,-94.789876,4219 S 169 HWY,ST. JOSEPH,MO,64503
MC,39.771307,-94.8031,3504 N BELT HWY,ST. JOSEPH,MO,64506
MC,39.754076,-94.768806,1310 S RIVERSIDE,ST. JOSEPH,MO,64507
MC,39.354102,-94.765288,2001 PRAIRIE VIEW RD,PLATTE CITY,MO,64079
MC,39.80192,-94.816156,601 N BELT HWY,ST. JOSEPH,MO,64506
MC,39.842535,-95.526639,1001 SOUTH FIRST STREET,HIAWATHA,KS,66434
MC,39.361963,-94.583306,1515 S 169 HWY,SMITHVILLE,MO,64089
MC,38.782834,-95.1858,522 AMES (STO),BALDWIN CITY,KS,66006
MC,38.924983,-95.261278,3241 IOWA,LAWRENCE,KS,66047
MC,38.942411,-95.245016,901 WEST 23RD STREET,LAWRENCE,KS,66046
MC,38.97268,-95.250362,1309 W 6TH ST,LAWRENCE,KS,66044-2220
MC,38.970916,-95.307647,4911 W 6TH ST,LAWRENCE,KS,66044
MC,38.580294,-95.268654,2214 PRINCETON CIRCLE DR,OTTAWA,KS,66067-4025
MC,39.019104,-95.13681,I-70 MILEMARKER 209,LAWRENCE,KS,66046
MC,38.813032,-94.889786,26240 W 174TH ST,GARDNER,KS,66030
MC,38.961939,-94.981982,34225 COMMERCE DR,DESOTO,KS,66018
MC,38.857762,-94.815065,1600 S. HAMILTON CIRCLE,OLATHE,KS,66061-5379
MC,38.883212,-94.835277,199 N PARKER ST,OLATHE,KS,66061-3139
MC,38.854292,-94.760599,15095 W 151ST ST,OLATHE,KS,66062
MC,38.884074,-94.780067,2200 E SANTE FE,OLATHE,KS,66062
MC,38.883968,-94.806449,618 SANTA FE ST,OLATHE,KS,66061
MC,38.909576,-94.772166,12091 STRANG LINE RD,OLATHE,KS,66062-5256
MC,38.88503,-94.723115,11850 W 135TH ST,OVERLAND PARK,KS,66210
MC,38.912265,-94.793657,17921 W 119TH ST,OLATHE,KS,66061
MC,39.00833,-94.844864,22315 W. 66TH STREET,SHAWNEE,KS,66226
MC,39.015591,-95.651006,2880 CALIFORNIA,TOPEKA,KS,66605-1713
MC,39.08674,-94.882395,606 S. 130TH,BONNER SPRINGS,KS,66012-9233
MC,38.971499,-94.772752,15920 W 87TH ST PKWY,LENEXA,KS,66219-9710
MC,38.570779,-94.857264,1610 E PEORIA,PAOLA,KS,66071
MC,39.0113,-95.688306,3117 S TOPEKA AVE,TOPEKA,KS,66611-2124
MC,38.998718,-95.693801,1301 SW 37TH ST (W*M #2131),TOPEKA,KS,66611
MC,39.00984,-94.774601,16210 W 65TH ST,SHAWNEE,KS,66217
MC,39.12807,-94.824552,10555 PARALLEL PARKWAY,KANSAS CITY,KS,66111
MC,39.116944,-94.754761,7530 STATE AVE,KANSAS CITY,KS,66112
MC,39.089112,-94.675966,4101 KANSAS AVE,KANSAS CITY,KS,66100
MC,39.116307,-94.672279,3725 STATE AVE.,KANSAS CITY,KS,66102-3830
MC,39.014115,-94.721995,11801 W 63RD ST,SHAWNEE,KS,66203-3337
