Comparison	PathID.1	Pathway	Group1	Sample1	Symbol1	LFPKM1	Stdres1	Interaction	Group2	Sample2	Symbol2	LFPKM2	Stdres2
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgf18	2.50224148084403	-10.77810078	-->	stem	CD34n_Flk2n	Fgfr2	0.125883157222791	-4.446086835
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgf2	3.45431541716361	-11.21116494	-->	stem	CD34n_Flk2n	Fgfr2	0.125883157222791	-4.446086835
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgf7	3.47421537126437	-4.086925565	-->	stem	CD34n_Flk2n	Fgfr2	0.125883157222791	-4.446086835
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgfr2	5.84048337606807	-4.446086835	<--	stem	CD34n_Flk2n	Fgf10	0	-9.753621721
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgfr2	5.84048337606807	-4.446086835	<--	stem	CD34n_Flk2n	Fgf14	0	-9.806999887
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgfr2	5.84048337606807	-4.446086835	<--	stem	CD34n_Flk2n	Fgf15	1.89299323753141	8.065287252
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgfr2	5.84048337606807	-4.446086835	<--	stem	CD34n_Flk2n	Fgf18	0	-10.77810078
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgfr2	5.84048337606807	-4.446086835	<--	stem	CD34n_Flk2n	Fgf2	0	-11.21116494
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgfr2	5.84048337606807	-4.446086835	<--	stem	CD34n_Flk2n	Fgf3	3.43612051985148	3.346799176
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgfr2	5.84048337606807	-4.446086835	<--	stem	CD34n_Flk2n	Fgf7	0.0515603185088182	-4.086925565
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Fgfr2	5.84048337606807	-4.446086835	<--	stem	CD34n_Flk2n	Fgf23	0	-8.906824948
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Ngf	3.74782776800405	-11.33778523	-->	stem	CD34n_Flk2n	Ntrk2	0.0526985623422266	-3.92701558
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Ntf3	1.05118413885657	-9.938480874	-->	stem	CD34n_Flk2n	Ntrk2	0.0526985623422266	-3.92701558
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Ntrk2	3.14517038512588	-3.92701558	<--	stem	CD34n_Flk2n	Bdnf	0.00793682744777087	-3.039319082
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Ntrk2	3.14517038512588	-3.92701558	<--	stem	CD34n_Flk2n	Ngf	0	-11.33778523
stem.strom	mmu04010A	MAPK signaling pathway (Classical)	strom	Col2.3	Ntrk2	3.14517038512588	-3.92701558	<--	stem	CD34n_Flk2n	Ntf3	0	-9.938480874
stem.strom	mmu04060A	Cytokine-cytokine receptor interaction (Chemokines)	strom	Col2.3	Cxcr7	4.3606522249073	-4.81103775	<--	stem	CD34n_Flk2n	Cxcl12	1.00512687391504	-4.567117388
stem.strom	mmu04060A	Cytokine-cytokine receptor interaction (Chemokines)	strom	Col2.3	Cxcl12	10.2258099406235	-4.567117388	-->	stem	CD34n_Flk2n	Cxcr7	0.0310402665790845	-4.81103775
stem.strom	mmu04060B	Cytokine-cytokine receptor interaction (Hematopoietins)	strom	Col2.3	Il11	3.36813694457309	-3.027097126	-->	stem	CD34n_Flk2n	Il11ra1	2.84282600860994	3.870477395
stem.strom	mmu04060G	Cytokine-cytokine receptor interaction (TGF-B Family)	strom	Col2.3	Bmp2	3.66709734574402	-4.4297063	-->	stem	CD34n_Flk2n	Bmpr1b	0	-9.013168857
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Ccr6	0.16801039734313	-8.704482464	<--	stem	CD34n_Flk2n	Cxcl12	1.00512687391504	-4.567117388
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Ccr5	0	7.32777536	<--	stem	CD34n_Flk2n	Cxcl12	1.00512687391504	-4.567117388
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Ccr10	0.246136853326344	-8.93834823	<--	stem	CD34n_Flk2n	Cxcl12	1.00512687391504	-4.567117388
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl1	4.83270270475488	-4.388447826	-->	stem	CD34n_Flk2n	Ccr6	0	-8.704482464
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl1	4.83270270475488	-4.388447826	-->	stem	CD34n_Flk2n	Ccr5	0.934944434496584	7.32777536
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl1	4.83270270475488	-4.388447826	-->	stem	CD34n_Flk2n	Ccr10	0	-8.93834823
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl10	1.87333681384941	-5.19101119	-->	stem	CD34n_Flk2n	Ccr6	0	-8.704482464
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl10	1.87333681384941	-5.19101119	-->	stem	CD34n_Flk2n	Ccr5	0.934944434496584	7.32777536
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl10	1.87333681384941	-5.19101119	-->	stem	CD34n_Flk2n	Ccr10	0	-8.93834823
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl9	2.33385304336707	-3.264349136	-->	stem	CD34n_Flk2n	Ccr6	0	-8.704482464
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl9	2.33385304336707	-3.264349136	-->	stem	CD34n_Flk2n	Ccr5	0.934944434496584	7.32777536
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl9	2.33385304336707	-3.264349136	-->	stem	CD34n_Flk2n	Ccr10	0	-8.93834823
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Ccl11	3.3986267327194	-11.18686446	-->	stem	CD34n_Flk2n	Ccr6	0	-8.704482464
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Ccl11	3.3986267327194	-11.18686446	-->	stem	CD34n_Flk2n	Ccr5	0.934944434496584	7.32777536
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Ccl11	3.3986267327194	-11.18686446	-->	stem	CD34n_Flk2n	Ccr10	0	-8.93834823
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Ccl2	4.75897468641859	-4.69480161	-->	stem	CD34n_Flk2n	Ccr6	0	-8.704482464
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Ccl2	4.75897468641859	-4.69480161	-->	stem	CD34n_Flk2n	Ccr5	0.934944434496584	7.32777536
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Ccl2	4.75897468641859	-4.69480161	-->	stem	CD34n_Flk2n	Ccr10	0	-8.93834823
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl12	10.2258099406235	-4.567117388	-->	stem	CD34n_Flk2n	Ccr6	0	-8.704482464
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl12	10.2258099406235	-4.567117388	-->	stem	CD34n_Flk2n	Ccr5	0.934944434496584	7.32777536
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl12	10.2258099406235	-4.567117388	-->	stem	CD34n_Flk2n	Ccr10	0	-8.93834823
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl13	1.57823349146546	-3.528845998	-->	stem	CD34n_Flk2n	Ccr6	0	-8.704482464
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl13	1.57823349146546	-3.528845998	-->	stem	CD34n_Flk2n	Ccr5	0.934944434496584	7.32777536
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl13	1.57823349146546	-3.528845998	-->	stem	CD34n_Flk2n	Ccr10	0	-8.93834823
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl14	6.6823345138058	-5.583967989	-->	stem	CD34n_Flk2n	Ccr6	0	-8.704482464
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl14	6.6823345138058	-5.583967989	-->	stem	CD34n_Flk2n	Ccr5	0.934944434496584	7.32777536
stem.strom	mmu04062	Chemokine signaling pathway	strom	Col2.3	Cxcl14	6.6823345138058	-5.583967989	-->	stem	CD34n_Flk2n	Ccr10	0	-8.93834823
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Fzd1	3.60515056831698	-3.461804569	|--	stem	CD34n_Flk2n	Sfrp4	0.766679961296736	-3.260900464
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Fzd1	3.60515056831698	-3.461804569	<--	stem	CD34n_Flk2n	Wnt10a	0.185345178446148	6.046607397
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Fzd1	3.60515056831698	-3.461804569	<--	stem	CD34n_Flk2n	Wnt11	0	-11.78211709
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Fzd1	3.60515056831698	-3.461804569	<--	stem	CD34n_Flk2n	Wnt4	0	-11.50177064
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Fzd1	3.60515056831698	-3.461804569	<--	stem	CD34n_Flk2n	Wnt5a	0.028406910602732	-4.251474562
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Fzd1	3.60515056831698	-3.461804569	<--	stem	CD34n_Flk2n	Wnt7b	0	-9.940813853
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Fzd1	3.60515056831698	-3.461804569	|--	stem	CD34n_Flk2n	Sfrp5	0.0516648573156111	-3.6733203
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Fzd1	3.60515056831698	-3.461804569	<--	stem	CD34n_Flk2n	Wnt16	0.0373445462593988	-4.218440163
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Fzd1	3.60515056831698	-3.461804569	<--	stem	CD34n_Flk2n	Wnt9a	0.0749255789498618	-3.051481911
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Sfrp4	6.32413373141791	-3.260900464	--|	stem	CD34n_Flk2n	Fzd1	0.137159334351595	-3.461804569
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Sfrp4	6.32413373141791	-3.260900464	--|	stem	CD34n_Flk2n	Wnt10a	0.185345178446148	6.046607397
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Sfrp4	6.32413373141791	-3.260900464	--|	stem	CD34n_Flk2n	Wnt11	0	-11.78211709
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Sfrp4	6.32413373141791	-3.260900464	--|	stem	CD34n_Flk2n	Wnt4	0	-11.50177064
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Sfrp4	6.32413373141791	-3.260900464	--|	stem	CD34n_Flk2n	Wnt5a	0.028406910602732	-4.251474562
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Sfrp4	6.32413373141791	-3.260900464	--|	stem	CD34n_Flk2n	Wnt7b	0	-9.940813853
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Sfrp4	6.32413373141791	-3.260900464	--|	stem	CD34n_Flk2n	Fzd2	0.0766946706279452	-3.150916337
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Sfrp4	6.32413373141791	-3.260900464	--|	stem	CD34n_Flk2n	Wnt16	0.0373445462593988	-4.218440163
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Sfrp4	6.32413373141791	-3.260900464	--|	stem	CD34n_Flk2n	Wnt9a	0.0749255789498618	-3.051481911
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt11	4.81124494949098	-11.78211709	-->	stem	CD34n_Flk2n	Fzd1	0.137159334351595	-3.461804569
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt11	4.81124494949098	-11.78211709	|--	stem	CD34n_Flk2n	Sfrp4	0.766679961296736	-3.260900464
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt11	4.81124494949098	-11.78211709	|--	stem	CD34n_Flk2n	Wif1	0.0175231703593307	-5.865643922
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt11	4.81124494949098	-11.78211709	|--	stem	CD34n_Flk2n	Sfrp5	0.0516648573156111	-3.6733203
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt11	4.81124494949098	-11.78211709	-->	stem	CD34n_Flk2n	Fzd2	0.0766946706279452	-3.150916337
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt4	4.13510797375544	-11.50177064	-->	stem	CD34n_Flk2n	Fzd1	0.137159334351595	-3.461804569
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt4	4.13510797375544	-11.50177064	|--	stem	CD34n_Flk2n	Sfrp4	0.766679961296736	-3.260900464
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt4	4.13510797375544	-11.50177064	|--	stem	CD34n_Flk2n	Wif1	0.0175231703593307	-5.865643922
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt4	4.13510797375544	-11.50177064	|--	stem	CD34n_Flk2n	Sfrp5	0.0516648573156111	-3.6733203
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt4	4.13510797375544	-11.50177064	-->	stem	CD34n_Flk2n	Fzd2	0.0766946706279452	-3.150916337
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt5a	2.92536715180791	-4.251474562	-->	stem	CD34n_Flk2n	Fzd1	0.137159334351595	-3.461804569
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt5a	2.92536715180791	-4.251474562	|--	stem	CD34n_Flk2n	Sfrp4	0.766679961296736	-3.260900464
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt5a	2.92536715180791	-4.251474562	|--	stem	CD34n_Flk2n	Wif1	0.0175231703593307	-5.865643922
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt5a	2.92536715180791	-4.251474562	|--	stem	CD34n_Flk2n	Sfrp5	0.0516648573156111	-3.6733203
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt5a	2.92536715180791	-4.251474562	-->	stem	CD34n_Flk2n	Fzd2	0.0766946706279452	-3.150916337
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt7b	1.05423724205057	-9.940813853	-->	stem	CD34n_Flk2n	Fzd1	0.137159334351595	-3.461804569
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt7b	1.05423724205057	-9.940813853	|--	stem	CD34n_Flk2n	Sfrp4	0.766679961296736	-3.260900464
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt7b	1.05423724205057	-9.940813853	|--	stem	CD34n_Flk2n	Wif1	0.0175231703593307	-5.865643922
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt7b	1.05423724205057	-9.940813853	|--	stem	CD34n_Flk2n	Sfrp5	0.0516648573156111	-3.6733203
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wnt7b	1.05423724205057	-9.940813853	-->	stem	CD34n_Flk2n	Fzd2	0.0766946706279452	-3.150916337
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wif1	5.99129734639464	-5.865643922	--|	stem	CD34n_Flk2n	Wnt10a	0.185345178446148	6.046607397
stem.strom	mmu04310A	Wnt signaling pathway (Canonical)	strom	Col2.3	Wif1	5.99129734639464	-5.865643922	--|	stem	CD34n_Flk2n	Wnt11	0	-11.78211709
