name,lat,lon,address,city
Price Chopper,39.350859,-94.767809,2600 Ensign Hill Drive,Platte City
Sun Fresh Pharmacy,39.278701,-94.573338,10225 North Oak Trafficway,Kansas City
Cosentino's Price Chopper,39.268236,-94.451531,9717 North Ash Avenue,Kansas City
John's Super,39.367934,-94.375445,655 Missouri 92,Kearney
Big V Country Mart,39.367937,-94.363263,150 W State Route 92,Kearney
Big V Country Mart,39.368661,-94.363782,150 E 6th St,Kearney
Full Sircle Farms,39.33573,-94.293066,13404 Cameron Road,Excelsior Springs
Aldi,39.242616,-94.466226,8251 N Oxford St,Kansas City
Hy-Vee,39.245166,-94.447703,1332 W Kansas St,Liberty
Calia's Sun Fresh,39.233402,-94.657365,7613 Northwest Prairie View Road,Kansas City
King Super Store,39.225045,-94.653476,6417 Northwest 72nd Street,Kansas City
Manila Grocery Co,39.239293,-94.576031,8002 North Oak Trfy # 108,Kansas City
Universal Tropical Market LLC,39.232861,-94.576098,7628 N Oak Trfy,Kansas City
Aldi,39.232405,-94.576098,7604 N Oak Trfy,Gladstone
La Tapatia,39.22886,-94.575771,7407 N Oak Trfy,Kansas City
Hy-Vee,39.223373,-94.547578,7117 North Prospect Ave,Gladstone
Price Chopper,39.235989,-94.435315,896 S State Route 291,Liberty
Price Chopper,39.209676,-94.685987,9107 NW Highway 45,Parkville
La De-Da,39.209212,-94.651962,6121 Northwest 63rd Terrace,Kansas City
Price-Rite,39.210433,-94.612516,6400 Northwest Waukomis Drive,Kansas City
EuroMarket,39.220999,-94.577028,6936 North Oak Trafficway,Gladstone
Gladstone Food Products Co Inc,39.219384,-94.572514,607 Northeast 69th Street,Kansas City
Sav-A-Lot,39.213744,-94.576069,6597 N Oak Trfy,Kansas City
Hy-Vee,39.222499,-94.548278,7117 North Prospect Avenue,Gladstone
Hy-Vee,39.195568,-94.57819,207 Northeast Englewood Road,Kansas City
Macaluso Liquor Grocery,39.198115,-94.505536,203 E US Highway 69,Kansas City
Sam's Club,39.186744,-94.579343,5110 N Oak Trfy,Kansas City
Price Chopper,39.182581,-94.57926,4820 North Oak Trfy,Kansas City
Cosentino's Sun Fresh,39.185174,-94.550213,2415 Northeast Vivion Road,Kansas City
Sunflower Food & Spice Co,39.170863,-94.614301,4114 Northwest Riverside Street,Riverside
Country Market,39.173851,-94.559774,408 US Highway 71,Pineville
Festival Foods,39.17198,-94.533985,4357 North Chouteau Trfy,Kansas City
Macaluso's Thriftway,39.167965,-94.520847,5004 Northeast Parvin Road,Kansas City
Happy Foods North,39.143169,-94.705273,5420 Leavenworth Road,Kansas City
Riverside Red X,39.169213,-94.608276,2401 Northwest Platte Road,Riverside
Green Acres Market,39.168967,-94.598486,4175 North Mulberry Drive,Kansas City
Zeena Market,39.167178,-94.575507,4019 North Cherry Street,Kansas City
Corner Store,39.159303,-94.546271,3605 Northeast Antioch Road,Kansas City
Hen House Market,39.129011,-94.767229,8120 Parallel Parkway,Kansas City
Sam's Foodmart,39.128566,-94.690386,4828 Parallel Parkway,Kansas City
Sav-A-Lot,39.149184,-94.579826,2751 Burlington Street,North Kansas City
Little General Store,39.1328,-94.3485,19300 E Us Highway 24,Independence
Sav-A-Lot,39.116207,-94.767505,8115 State Avenue,Kansas City
Aldi,39.115474,-94.689629,4805 State Avenue,Kansas City
Price Chopper,39.115117,-94.678365,4301 State Ave,Kansas City
Fast Fred's Market,39.124284,-94.64943,1806 North 18th Street,Kansas City
Save-A-Lot,39.116689,-94.66042,2815 State Avenue,Kansas City
La Tiendita Market,39.115453,-94.6486,1721 Minnesota Avenue,Kansas City
Mission Foods,39.142413,-94.568501,1952 Linn Street,Kansas City
Guerrero Market,39.112896,-94.528322,4440 Saint John Ave,Kansas City
Aza Grocery,39.112924,-94.529204,4422 Saint John Ave,Kansas City
Happy Foods West,39.089351,-94.734132,6700 Kaw Drive,Kansas City
Ball's Food Stores Inc,39.095495,-94.701216,5300 Speaker Rd,Kansas City
International Foods,39.087191,-94.734524,6721 Griffin Road,Kansas City
Carniceria El Torito,39.104376,-94.645355,1409 Central Avenue,Kansas City
China Town Food Market,39.110899,-94.581215,202 Grand Blvd,Kansas City
Arahaman Halal Market,39.111133,-94.555396,2200 Lexington Avenue,Kansas City
Price Chopper,39.106136,-94.513743,5800 Wilson Road,Kansas City
Aldi,39.104914,-94.508399,6300 Independence Ave,Kansas City
Sterling Apple Market,39.102421,-94.444129,11215 E US Highway 24,Sugar Creek
24 Hi-Way Thriftway,39.102514,-94.428107,1000 W US Highway 24,Independence
Sav-A-Lot,39.095602,-94.445158,11200 East Truman Road,Independence
Don Lucho Mini Market,39.101303,-94.413689,161 W US Highway 24,Independence
Country Grocery,39.093893,-94.427562,1001 West Truman Road,Independence
Apple Market,39.100226,-94.409144,405 E US Highway 24,Independence
La Plaza Market,39.087779,-94.44805,11004 East Winner Road,Independence
Charles Ball Market Inc,39.097633,-94.647927,241 S 18th St,Kansas City
Apple Market,39.099892,-94.635421,11 S 10th St,Kansas City
Carollo's Gourmet Grocery,39.109818,-94.582816,9 East 3rd Street,Kansas City
Al Habashi Mart,39.109616,-94.583072,309 Main Street,Kansas City
Crossland International Market,39.109846,-94.582676,19 East 3rd Street,Kansas City
River Market Produce Co,39.1091,-94.5829,403 Main St,Kansas City
Global Produce Market,39.1094,-94.5831,419 Main St , Kansas City,MO 64105
Hung Vuong Market,39.10989,-94.580719,303 Grand Boulevard,Kansas City
Huong Que Oriental Market,39.109643,-94.578272,424 Locust Ln,Kansas City
Hung Vuong Market,39.109932,-94.573398,504 Campbell Street,Kansas City
Joe's Market,39.112854,-94.556987,121 Garfield Avenue,Kansas City
Safa Halal Grocery Store,39.110954,-94.555419,2203 Lexington Avenue,Kansas City
Baraka Market,39.106374,-94.562765,1447 Independence Ave # 53,Kansas City
Snyder's Supermarket,39.106748,-94.549694,2620 Independence Ave,Kansas City
Little Burma Grocery,39.106379,-94.552419,2532 Independence Ave,Kansas City
Brooklyn Market,39.106258,-94.555945,2119 Independence Ave,Kansas City
Huda Food,39.10573,-94.542272,3239 Independence Ave,Kansas City
La Tienda Carrete,39.105751,-94.535306,3825 Independence Ave,Kansas City
Cosentino's Apple Market,39.10541,-94.538022,3719 Independence Ave,Kansas City
Hong Kong Supermarket,39.093696,-94.506689,6421 East Truman Road,Kansas City
Durango Abarrotes Grocery,39.093975,-94.510203,6200 East Truman Road,Kansas City
Thriftway Supermarket,39.094204,-94.518719,5402 East Truman Road,Kansas City
Aldi,39.08012,-94.439723,11605 E 23rd St S,Independence
Sun Fresh Market,39.079776,-94.445291,2301 South Sterling Avenue,Independence
Aldi,39.07748,-94.38797,16007 E 23rd St S,Independence
Tienda La Esperanza,39.075146,-94.677733,1400 South 42nd Street,Kansas City
Lipari Brothers Thriftway,39.08754,-94.629335,800 Kansas Ave,Kansas City
Cosentinos Market Downtown,39.098608,-94.583136,10 East 13th Street,Kansas City
Aldi,39.104418,-94.563451,721 Paseo Blvd,Kansas City
Heart of America Minimart,39.098949,-94.555793,2221 East 12th Street,Kansas City
El Parralito Market,39.098531,-94.544413,3205 East 12th Street,Kansas City
Roberts Supermarket,39.093969,-94.529418,4511 East Truman Road,Kansas City
Sav-A-Lot,39.094072,-94.536539,3821 East Truman Road,Kansas City
Badseed Farmers Market,39.089939,-94.58009,1909 McGee Street,Kansas City
Jubilee Market,39.080864,-94.520557,2410 Hardesty Avenue,Kansas City
Crysler Thriftway,39.072447,-94.432762,2604 South Crysler Avenue,Independence
Casey's General Store,39.029598,-94.826544,20810 Johnson Drive,Shawnee
Casey's General Store,39.029111,-94.826066,20810 Johnson Dr,Shawnee
Farmstead Nuts And Treats Inc,39.045877,-94.663051,2920 Merriam Lane,Kansas City
Stop n Shop Food Mart,39.057645,-94.612493,West 39th Avenue,Kansas City
El Sol Mini Market,39.050265,-94.61781,4300 Lloyd Street,Kansas City
Linwood Super Foods Inc,39.068471,-94.583368,130 E Linwood Blvd,Kansas City
Costco Wholesale,39.068238,-94.581672,241 East Linwood Blvd,Kansas City
Sun Fresh Market,39.05436,-94.594908,4001 Mill Street,Kansas City
Sav-A-Lot,39.064308,-94.571774,3410 Troost Avenue,Kansas City
Ben's Super Market,39.077178,-94.552175,2604 East 27th Street,Kansas City
Happy Food Center Inc,39.069244,-94.536572,4019 East 31st Street,Kansas City
Jacobs Robbie,39.069337,-94.527931,4808 East 31st Street,Kansas City
Thirty Fifth Street Market,39.062104,-94.539152,3801 East 35th Street,Kansas City
Save-A-Lot,39.059409,-94.473018,3500 Blue Ridge Cutoff,Independence
La Tapatia,39.052359,-94.41503,3740 South Noland Road,Independence
Costco Independence,39.036609,-94.357637,19040 E. Valley View Pkwy,Independence
Nature's Pantry,39.030858,-94.357961,19019 E 48th Street South,Independence
Indian Bazaar,39.01388,-94.757293,6316 Alden Street,Shawnee
Hy-Vee,39.014872,-94.743202,13550 W 63rd St,Shawnee
Aldi,39.006855,-94.762143,15105 W 67th St,Shawnee
Price Chopper,39.015239,-94.741227,12010 W 63rd St,Shawnee
Siam Oriental Market,39.01324,-94.72145,6437 Quivira Rd,Shawnee
Hen House Market #31,39.024876,-94.689123,5800 Antioch Road,Merriam
Price Chopper,39.039782,-94.641976,4950 Roe Boulevard,Roeland Park
Roeland Park Shopping Center,39.037163,-94.641695,,Roeland Park
Aldi,39.040186,-94.638977,4801 Roe Boulevard,Roeland Park
Apple Market,39.043544,-94.619687,4701 Mission Road,Westwood
Main Thriftway,39.054576,-94.585482,3967 Main St,Kansas City
Nature's Own Health Food Market,39.049125,-94.586348,4301 Main St,Kansas City
K2 Mini Mart,39.057379,-94.553366,3751 Prospect Avenue,Kansas City
Apple Market,39.041527,-94.571561,1215 Emanuel Cleaver II Blvd,Kansas City
Banadir Grocery,39.051816,-94.535671,4020 St John Ave,Kansas City
Leon's Thriftway,39.055228,-94.532195,4400 East 39th Street,Kansas City
Save-A-Lot,39.03477,-94.538813,3500 Blue Ridge Cut Off,Kansas City
Cosentino's Apple Market,39.042841,-94.438193,4300 Blue Ridge Boulevard,Kansas City
Price Chopper,39.046574,-94.415231,Interstate 70,Independence
Cosentino's Price Chopper,39.009928,-94.843694,22210 West 66th Street,Shawnee
Mimi's Market Place LLC,38.992069,-94.733437,12715 W 75th Ter,Shawnee
Dillons Grocery,38.994541,-94.723496,7405 Quivira Road,Shawnee
Joong-Ang Oriental Groceries,39.015105,-94.676064,7800 Shawnee Mission Pkwy,Shawnee Mission
Hy-Vee,39.019276,-94.662269,6659 Martway Street,Mission
Wild Oats Natural Marketplace (closed),39.023453,-94.643943,5101 Johnson Drive,Roeland Park
Hen House Market,39.033727,-94.61768,2724 West 53rd Street,Fairway
SAVE A LOT LLC (Pick n Save),39.018933,-94.555884,5846 Prospect Avenue,Kansas City
Price Chopper,39.009778,-94.483952,8700 E 63rd St,Kansas City
Sav-A-Lot,39.009542,-94.466489,6250 Raytown Trafficway,Raytown
Cosentino's Apple Market,39.007942,-94.446673,11501 E 63rd St,Raytown
Hen House Market,38.972183,-94.759755,15000 W 87th Street Pkwy,Lenexa
La Chihuahua,38.987119,-94.723486,7769 Quivira Road,Lenexa
Wattan Grocery Halal meat,38.986488,-94.723848,7824 Quivira Road,Shawnee
Mediterranean Market Inc,38.994112,-94.667518,7417 Metcalf Ave # B,Overland Park
Cosentino's Market,39.014911,-94.589057,14 W 62nd Ter,Kansas City
Price Chopper,39.012794,-94.590638,6327 Brookside Plaza,Kansas City
Aldi,39.010497,-94.573913,6415 Troost Avenue,Kansas City
Thriftway,39.013104,-94.568542,1616 East 63rd Street,Kansas City
Hornbeck Thriftway,38.993251,-94.557518,7320 Prospect Avenue,Kansas City
Circle K,38.998168,-94.481951,6903 Blue Ridge Boulevard,Raytown
The Store,39.002346,-94.463824,6624 Raytown Road,Raytown
Price Chopper,38.980817,-94.357452,937 Northeast Woods Chapel Road,Lee's Summit
Aldi,39.013269,-94.271577,530 Southwest State Route 7,Blue Springs
Hy-Vee,39.010381,-94.271294,625 SW Us Highway 40,Blue Springs
Price Chopper,39.006179,-94.272664,1100 Missouri 7,Independence
Aldi,38.969686,-94.768968,15751 W 87th Street Pkwy,Lenexa
Price Chopper,38.993277,-94.665786,7000 W 75th St,Overland Park
Halal Meat Market,38.985921,-94.669797,7228 W 79th St,Overland Park
Hen House Market #28,39.00272,-94.630552,6950 Mission Road,Prairie Village
Aldi,38.991429,-94.594168,7511 Wornall Rd,Kansas City
Mc Gonigle's Market,38.985248,-94.605864,1307 West 79th Street,Kansas City
Sav-A-Lot,38.965297,-94.499796,8742 Blue Ridge Boulevard,Raytown
Price Chopper,39.002832,-94.272926,1305 NW State Route 7,Blue Springs
Price Chopper,38.971833,-94.687585,8686 Antioch Rd,Overland Park
Ambica Foods,38.964901,-94.667749,9054 Metcalf Avenue,Overland Park
Whole Foods Market,38.963865,-94.671551,7401 West 91st Street,Overland Park
Hen House Market #22,38.979967,-94.63353,4050 W 83rd St,Prairie Village
Corinth Hen House Market,38.979966,-94.633529,4050 West 83rd Street,Prairie Village
Cosentino's Market,38.978621,-94.630323,3901 W 83rd St,Prairie Village
Price Chopper,38.974808,-94.595049,8430 Wornall Rd,Kansas City
Trader Joe's,38.967384,-94.606619,8600 Ward Parkway,Kansas City
