name	lat	lon	address	city
Polly's Country Market	42.325762	-83.869422	7001 Dexter Ann Arbor Rd	Dexter
Meijer	42.286033	-83.841655	5645 Jackson Rd	Ann Arbor
Garden Works Inc	42.342093	-83.773501	1205 W Joy Rd	Ann Arbor
Greenberg Organic Farms	42.28098	-83.853557	6250 Park Rd	Ann Arbor
Maple In-N-Out Liqour & Wine Shoppe	42.29555	-83.780639	1502 N Maple Rd	Ann Arbor
Plum Market	42.284856	-83.781634	375 N Maple Rd	Ann Arbor
GNC	42.284064	-83.781681	245 N Maple Rd	Ann Arbor
Aldi	42.285196	-83.779041	2340 Dexter Ave	Ann Arbor
Green Pawz Pet Supply	42.283597	-83.781576	211 N Maple Rd	Ann Arbor
Maple Village	42.281652	-83.781926	155 N Maple Rd	Ann Arbor
Alexander's Farm Market	42.377066	-83.760998	6925 Whitmore Lake Rd	Whitmore Lake
Kroger	42.27736	-83.780225	400 S Maple Rd	Ann Arbor
Knight's Market	42.283728	-83.752065	420 Miller Ave	Ann Arbor
Broadway Party Store	42.289582	-83.738996	1027 Broadway St	Ann Arbor
Clark Refining & Marketing Inc	42.289413	-83.739129	1019 Broadway St	Ann Arbor
Manna International Foods & Gifts	42.290682	-83.73652	1149 Broadway St	Ann Arbor
Own Point of Sale	42.283568	-83.748534	320 N Main St #100, Ann Arbor	MI
Fustini's Oils & Vinegars	42.284341	-83.746409	Kerrytown Market & Shops, 407 N 5th Ave	Ann Arbor
Spice Merchants	42.284355	-83.746184	407 N 5th Ave	Ann Arbor
Sparrow Market	42.284426	-83.746043	407 N 5th Ave	Ann Arbor
Ann Arbor Farmers Market	42.283659	-83.746563	315 Detroit St	Ann Arbor
Jerusalem Market	42.299022	-83.721308	1713 Plymouth Rd	Ann Arbor
People's Food Co-Op	42.282865	-83.746998	216 N 4th Ave	Ann Arbor
Kroger	42.304608	-83.709074	2641 Plymouth Rd	Ann Arbor
Om Market	42.303944	-83.706805	2713 Plymouth Rd	Ann Arbor
Way 1 Supermarket	42.303373	-83.705351	2789 Plymouth Rd	Ann Arbor
Om Super Store	42.303963	-83.706876	Nixon Rd	Ann Arbor
