"rfid_tag_id","location","antenna_port","action_type","content","product_style_id","product_name","customer_name","timestamp"
"ABBA00000000000000000238","Digital Mannequin","2","leaderboardPush","","","","","2014-01-28T23:28:29.000Z"
"ABBA00000000000000000235","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","","2014-01-28T23:28:43.000Z"
"ABBA00000000000000000238","Self Service Wall","4","leaderboardPush","","","","","2014-01-28T23:28:54.000Z"
"ABBA00000000000000000235","Smart Shelf","1","leaderboardPush","","","","","2014-01-28T23:28:56.000Z"
"ABBA00000000000000000238","Self Service Wall","4","leaderboardPush","","","","","2014-01-28T23:28:57.000Z"
"ABBA00000000000000000238","Color Palette","3","leaderboardPush","","","","","2014-01-28T23:29:13.000Z"
"ABBA00000000000000000238","Shop My Store","2","leaderboardPush","","","","","2014-01-28T23:29:25.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:33:46.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:33:51.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:33:56.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:34:01.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:34:06.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:34:06.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:34:11.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:34:16.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:34:16.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:34:21.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-28T23:34:21.000Z"
"ABBA00000000000000000250","Front Door","1,2","mobilePush","Welcome to the CEC, %{name}! We're excited to show you what we're working on.","","","Madison Jon","2014-01-28T23:38:18.000Z"
"ABBA00000000000000000250","Self Service Wall","4","leaderboardPush","","","","Madison Jon","2014-01-28T23:41:51.000Z"
"ABBA00000000000000000250","Shop My Store","2","leaderboardPush","","","","Madison Jon","2014-01-28T23:42:12.000Z"
"ABBA00000000000000000250","Color Palette","3","leaderboardPush","","","","Madison Jon","2014-01-28T23:42:18.000Z"
"ABBA00000000000000000250","Smart Shelf","1","leaderboardPush","","","","Madison Jon","2014-01-28T23:42:31.000Z"
"ABBA00000000000000000250","Seek and Find","1","leaderboardPush","","","","Madison Jon","2014-01-28T23:43:10.000Z"
"ABBA00000000000000000250","Digital Mannequin","2","leaderboardPush","","","","Madison Jon","2014-01-28T23:43:17.000Z"
"ABBA00000000000000000250","Digital Mannequin","2","leaderboardPush","","","","Madison Jon","2014-01-28T23:43:34.000Z"
"ABBA00000000000000000250","Dressing Room","2","leaderboardPush","","","","Madison Jon","2014-01-28T23:44:12.000Z"
"ABBA00000000000000000250","Dressing Room","2","leaderboardPush","","","","Madison Jon","2014-01-28T23:44:17.000Z"
"ABBA00000000000000000250","Dressing Room","2","leaderboardPush","","","","Madison Jon","2014-01-28T23:44:23.000Z"
"ABBA00000000000000000250","iBeacon","1","leaderboardPush","","","","Madison Jon","2014-01-28T23:44:28.000Z"
"ABBA00000000000000000250","Dressing Room","2","leaderboardPush","","","","Madison Jon","2014-01-28T23:44:35.000Z"
"ABBA00000000000000000250","Dressing Room","2","leaderboardPush","","","","Madison Jon","2014-01-28T23:44:56.000Z"
"ABBA00000000000000000250","Dressing Room","2","leaderboardPush","","","","Madison Jon","2014-01-28T23:45:18.000Z"
"ABBA00000000000000000250","Seek and Find","1","leaderboardPush","","","","Madison Jon","2014-01-28T23:46:33.000Z"
"ABBA00000000000000000250","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Madison Jon","2014-01-28T23:46:55.000Z"
"ABBA00000000000000000008","Front Door","1,2","mobilePush","Welcome to the CEC, %{name}! We're excited to show you what we're working on.","","","Averill Julie","2014-01-28T23:55:18.000Z"
"ABBA00000000000000000008","Seek and Find","1","leaderboardPush","","","","Averill Julie","2014-01-29T00:02:19.000Z"
"ABBA00000000000000000008","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Averill Julie","2014-01-29T00:04:47.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T00:13:07.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T00:13:11.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T00:13:35.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T00:13:42.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T00:13:46.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T00:13:51.000Z"
"ABBA00000000000000000008","Seek and Find","1","leaderboardPush","","","","Averill Julie","2014-01-29T00:24:25.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:10.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:14.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:19.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:19.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:24.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:29.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:29.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:34.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:39.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:39.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:44.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:49.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:49.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:54.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T00:45:54.000Z"
"ABBA00000000000000000250","Self Service Wall","4","leaderboardPush","","","","Madison Jon","2014-01-29T00:53:13.000Z"
"ABBA00000000000000000008","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Averill Julie","2014-01-29T01:09:35.000Z"
"DD00000000000000000012E3","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3620546","Beats by Dr. Dre™ 'Studio™' High Definition Headphones","","2014-01-29T01:10:18.000Z"
"DD00000000000000000012E3","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3620546","Beats by Dr. Dre™ 'Studio™' High Definition Headphones","","2014-01-29T01:10:22.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T01:10:32.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T01:10:36.000Z"
