stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
1,"10TH & MAIN METROCENTER DIAGONAL LANE SE",,  39.102116, -94.583244,,,,,,
10,"ON 23RD AT HOLMES  EASTBOUND",,  39.085083, -94.575859,,,,,,
100,"ON 10TH AT MAIN EB",,  39.102215, -94.583298,,,,,,
1010001,"ON MAIN AT 11TH/PETTICOAT LANE SB",,  39.101254, -94.583160,,,,,,
1010004,"ON 11TH AT CENTRAL WESTBOUND",,  39.100937, -94.586792,,,,,,
1010007,"ON BROADWAY AT 9TH NORTHBOUND",,  39.103638, -94.588181,,,,,,
10100120,"ON MAIN AT 8TH NB",,  39.104595, -94.582893,,,,,,
1010015,"ON 6TH AT STATE SOUTHBOUND",,  39.116432, -94.624138,,,,,,
1010017,"ON 6TH AT ANN SOUTHBOUND",,  39.113701, -94.624115,,,,,,
1010018,"ON ANN AT 7TH WESTBOUND",,  39.113667, -94.626602,,,,,,
1010023,"ON MINNESOTA AT 10TH WESTBOUND",,  39.115570, -94.634987,,,,,,
1010024,"ON MINNESOTA AT 11TH WESTBOUND",,  39.115574, -94.638000,,,,,,
1010025,"ON 11TH AT STATE NORTHBOUND",,  39.116367, -94.638046,,,,,,
1010040,"ON STATE AT 38TH WESTBOUND",,  39.116791, -94.673622,,,,,,
1010041,"ON STATE AT 41ST TERRACE WESTBOUND",,  39.116837, -94.677597,,,,,,
1010042,"ON 47TH AT MINNESOTA SOUTHBOUND",,  39.116009, -94.686592,,,,,,
1010061,"ON N 51ST AT YECKER NORTHBOUND",,  39.136810, -94.696556,,,,,,
1010064,"ON N 51ST AT LEAVENWORTH RD NORTHBOUND",,  39.142796, -94.696449,,,,,,
1010079,"ON LEAVENWORTH RD AT N 51ST EASTBOUND",,  39.142807, -94.696617,,,,,,
1010080,"ON N 51ST AT LATHROP SOUTHBOUND",,  39.140503, -94.696648,,,,,,
1010081,"ON N 51ST AT KIMBALL SOUTHBOUND",,  39.138760, -94.696686,,,,,,
1010082,"ON N 51ST AT YECKER SOUTHBOUND",,  39.136971, -94.696693,,,,,,
1010083,"ON N 51ST AT GEORGIA SOUTHBOUND",,  39.135712, -94.696732,,,,,,
1010084,"ON GEORGIA AT N 48TH TERR EASTBOUND",,  39.135593, -94.691521,,,,,,
1010085,"ON GEORGIA AT N 47TH EASTBOUND",,  39.135544, -94.687477,,,,,,
1010101,"ON STATE AT 38TH EASTBOUND",,  39.116570, -94.673492,,,,,,
1010116,"ON STATE AT 11TH EASTBOUND",,  39.116394, -94.638214,,,,,,
1010117,"ON 11TH AT MINNESOTA SOUTHBOUND",,  39.115627, -94.638191,,,,,,
1010118,"ON MINNESOTA AT 10TH EASTBOUND",,  39.115475, -94.634926,,,,,,
1010119,"ON MINNESOTA AT 9TH EASTBOUND",,  39.115486, -94.632469,,,,,,
1010120,"ON MINNESOTA AT 8TH EASTBOUND",,  39.115490, -94.629738,,,,,,
1010122,"ON ARMSTRONG AT 7TH EASTBOUND",,  39.114506, -94.626869,,,,,,
1010124,"ON ANN AT 6TH EASTBOUND",,  39.113556, -94.624184,,,,,,
1010125,"ON 6TH AT MINNESOTA NORTHBOUND",,  39.115444, -94.624001,,,,,,
1010129,"ON 4TH AT STATE NORTHBOUND",,  39.117573, -94.618675,,,,,,
1010130,"ON 4TH AT WASHINGTON NORTHBOUND",,  39.118362, -94.618683,,,,,,
1010133,"ON BROADWAY AT 8TH SOUTHBOUND",,  39.104824, -94.588242,,,,,,
1010137,"AT 47TH AND STATE AVE TRANSIT CENTER NORTHBOUND",,  39.114731, -94.684891,,,,,,
1010138,"ON 4TH AT STATE AVE. SOUTHBOUND",,  39.116623, -94.618843,,,,,,
1010139,"ON 5TH AT STATE AVE NORTHBOUND",,  39.116428, -94.621300,,,,,,
1010140,"ON WOODSWETHER AT STATE LINE EASTBOUND",,  39.109612, -94.606705,,,,,,
1010141,"ON WOODSWETHER AT LIBERTY EASTBOUND",,  39.108688, -94.603859,,,,,,
1010200,"ON 12TH AT WASHINGTON WESTBOUND",,  39.100220, -94.589859,,,,,,
1010211,"ON PARALLEL AT VILLAGE WEST PKWY EASTBOUND",,  39.128407, -94.829659,,,,,,
1010226,"ON CENTRAL AT 10TH NB",,  39.102245, -94.586823,,,,,,
1011,"ON INDEPENDENCE AVE AT DELAWARE ST WB",,  39.107395, -94.584007,,,,,,
1012500,"ON STATE AVE BETWEEN 12TH AND 11TH EB",,  39.116417, -94.639374,,,,,,
1012501,"ON MINNESOTA BETWEEN 6TH AND 5TH EB",,  39.115467, -94.622665,,,,,,
1012503,"ON JAMES ST AT CENTRAL VIADUCT SB",,  39.102810, -94.609177,,,,,,
1012504,"ON 12TH AT PENNSYLVANIA WB",,  39.100269, -94.591049,,,,,,
1012506,"ON JAMES ST AT OHIO NB",,  39.108688, -94.613121,,,,,,
1012507,"ON JAMES ST AT 345 JAMES ST NB",,  39.113194, -94.616844,,,,,,
1012509,"ON STATE AVE BETWEEN 11TH AND 12TH WB",,  39.116615, -94.639381,,,,,,
1012510,"ON STATE AVE AT 12TH EB",,  39.116463, -94.640793,,,,,,
1012700,"ON PARALLEL PKWY AT 90TH EB",,  39.128494, -94.788712,,,,,,
1012703,"ON N 82ND ST AT 1736 PUBLIC LIBRARY SB",,  39.124073, -94.769859,,,,,,
1012801,"ON PARALLEL AT 98TH EB",,  39.128464, -94.808487,,,,,,
1012802,"ON STATE AVE AT WASHINGTON EB",,  39.116703, -94.658112,,,,,,
1012803,"ON STATE AVE AT HOEL PKWY EB",,  39.116497, -94.652443,,,,,,
1012804,"ON STATE AVE AT 18TH ST EB",,  39.116241, -94.649490,,,,,,
1012805,"ON STATE AVE AT 13TH ST EB",,  39.116447, -94.643211,,,,,,
1012807,"ON STATE AVE AT 13TH WESTBOUND",,  39.116577, -94.642975,,,,,,
1012808,"ON STATE AT 18TH WESTBOUND",,  39.116409, -94.649269,,,,,,
1012809,"ON STATE AVE AT HOEL PKWY WESTBOUND",,  39.116573, -94.652206,,,,,,
1012810,"ON STATE AVE AT 24TH WESTBOUND",,  39.116802, -94.655632,,,,,,
1012811,"ON STATE AVE AT 28TH WESTBOUND",,  39.116829, -94.660255,,,,,,
1012812,"AT 47TH AND STATE AVE TRANSIT CENTER SOUTHBOUND",,  39.114742, -94.684967,,,,,,
1012814,"ON STATE AVE AT 86TH WESTBOUND",,  39.116428, -94.778999,,,,,,
1012815,"ON STATE AVE AT 90TH WESTBOUND",,  39.116478, -94.788216,,,,,,
1012816,"ON STATE AVE AT 94TH WESTBOUND",,  39.116493, -94.797646,,,,,,
1012817,"ON STATE AVE AT 24TH EB",,  39.116692, -94.655586,,,,,,
1012818,"ON STATE AVE AT WASHINGTON WB",,  39.116825, -94.657883,,,,,,
1012819,"ON STATE AVE AT 32ND ST WB",,  39.116817, -94.665520,,,,,,
1012820,"ON 47TH ST AT MINNESOTA AVE NB",,  39.115849, -94.686470,,,,,,
1012821,"ON PARALLEL AT 86TH STREET EB",,  39.128441, -94.779228,,,,,,
1012822,"ON STATE AVE AT 95TH WESTBOUND",,  39.116493, -94.799377,,,,,,
101801,"ON STATE AVE AT 78TH PLACE WB",,  39.116493, -94.761955,,,,,,
101802,"ON STATE AVE AT 78TH PLACE EB",,  39.116226, -94.761894,,,,,,
1020004,"ON 10TH AT WALNUT EASTBOUND",,  39.102203, -94.582108,,,,,,
1020009,"ON BALTIMORE AT 10TH NORTHBOUND",,  39.102089, -94.584175,,,,,,
1020019,"ON CENTRAL AT 6TH WESTBOUND",,  39.102757, -94.623260,,,,,,
1020020,"ON CENTRAL AT TREMONT WESTBOUND",,  39.102768, -94.624519,,,,,,
1020021,"ON CENTRAL AT 7TH WESTBOUND",,  39.102764, -94.626022,,,,,,
1020022,"ON CENTRAL AT SIMPSON WESTBOUND",,  39.102638, -94.627495,,,,,,
1020023,"ON CENTRAL AT 8TH WESTBOUND",,  39.101421, -94.629616,,,,,,
1020024,"ON CENTRAL AT 9TH WESTBOUND",,  39.100418, -94.631897,,,,,,
1020025,"ON CENTRAL AT FEREE WESTBOUND",,  39.100426, -94.634155,,,,,,
1020026,"ON CENTRAL AT 10TH WESTBOUND",,  39.100880, -94.635559,,,,,,
1020027,"ON CENTRAL AT BALTIMORE WESTBOUND",,  39.101315, -94.636688,,,,,,
1020028,"ON CENTRAL AT BETHANY WESTBOUND",,  39.102150, -94.639030,,,,,,
1020029,"ON CENTRAL AT 12TH WESTBOUND",,  39.102524, -94.639915,,,,,,
1020030,"ON CENTRAL AT VALLEY WESTBOUND",,  39.103020, -94.641304,,,,,,
1020031,"ON CENTRAL AT 13TH WESTBOUND",,  39.103817, -94.643456,,,,,,
1020032,"ON CENTRAL AT WILSON WESTBOUND",,  39.104237, -94.644592,,,,,,
1020033,"ON CENTRAL AT 16TH WESTBOUND",,  39.105099, -94.646935,,,,,,
1020035,"ON CENTRAL AT 19TH WESTBOUND",,  39.106403, -94.650375,,,,,,
1020048,"ON CENTRAL AT 18TH EASTBOUND",,  39.105854, -94.649300,,,,,,
1020049,"ON CENTRAL AT 16TH EASTBOUND",,  39.105083, -94.647141,,,,,,
1020050,"ON CENTRAL AT WILSON EASTBOUND",,  39.104206, -94.644867,,,,,,
1020051,"ON CENTRAL AT 13TH EASTBOUND",,  39.103798, -94.643692,,,,,,
1020053,"ON CENTRAL AT 12TH EASTBOUND",,  39.102509, -94.640160,,,,,,
1020054,"ON CENTRAL AT BETHANY EASTBOUND",,  39.102047, -94.639000,,,,,,
1020056,"ON CENTRAL AT 10TH EASTBOUND",,  39.100677, -94.635300,,,,,,
1020057,"ON CENTRAL AT 9TH EASTBOUND",,  39.100323, -94.632095,,,,,,
1020058,"ON CENTRAL AT COY EASTBOUND",,  39.101826, -94.628662,,,,,,
1020059,"ON CENTRAL AT PYLE EASTBOUND",,  39.102558, -94.627419,,,,,,
1020060,"ON CENTRAL AT 7TH EASTBOUND",,  39.102665, -94.626343,,,,,,
1020061,"ON CENTRAL AT 6TH EASTBOUND",,  39.102650, -94.623497,,,,,,
1020072,"ON CENTRAL AT 24TH EASTBOUND",,  39.108547, -94.656593,,,,,,
1020073,"ON CENTRAL AT 21ST WESTBOUND",,  39.107262, -94.652740,,,,,,
1020075,"ON CENTRAL AT 23RD WESTBOUND",,  39.108158, -94.655228,,,,,,
1020076,"ON WESTVIEW AT ORVILLE NORTHBOUND",,  39.109436, -94.657799,,,,,,
1020077,"ON WESTVIEW AT TAUROMEE NORTHBOUND",,  39.112244, -94.658676,,,,,,
1020078,"ON WESTVIEW AT ANN NORTHBOUND",,  39.113544, -94.660172,,,,,,
1020081,"ON STATE AT 29TH ST WESTBOUND",,  39.116856, -94.661682,,,,,,
1020082,"ON 12TH ST AT RIVERVIEW NORTHBOUND",,  39.105549, -94.639984,,,,,,
1020085,"ON 11TH ST AT REYNOLDS NORTHBOUND",,  39.103954, -94.638046,,,,,,
1020086,"ON RIVERVIEW AT 12TH ST WB",,  39.105701, -94.639946,,,,,,
1020087,"ON CENTRAL AT 11TH EB",,  39.101612, -94.637863,,,,,,
1020088,"ON BROADWAY AT 7TH SOUTHBOUND",,  39.105801, -94.588196,,,,,,
1020089,"ON STATE AVE AT 37TH ST EASTBOUND",,  39.116577, -94.670639,,,,,,
1020090,"ON STATE AVE AT 34TH ST EASTBOUND",,  39.116661, -94.667030,,,,,,
1020091,"ON STATE AVE AT 31ST EASTBOUND",,  39.116692, -94.664276,,,,,,
1020092,"ON STATE AVE AT 29TH ST EASTBOUND",,  39.116695, -94.661621,,,,,,
1020094,"ON RIDGE AT 18TH EB",,  39.102192, -94.649048,,,,,,
1020095,"ON WESTVIEW AT ANN SOUTHBOUND",,  39.113476, -94.660294,,,,,,
1020096,"ON WESTVIEW AT N  WASHINGTON SOUTHBOUND",,  39.112339, -94.658920,,,,,,
1020097,"ON WESTVIEW AT ORVILLE SOUTHBOUND",,  39.109604, -94.658104,,,,,,
1020098,"ON CENTRAL AT 2309 EASTBOUND",,  39.108082, -94.655273,,,,,,
1020099,"ON CENTRAL AT 21ST ST EASTBOUND",,  39.107246, -94.652946,,,,,,
1020100,"ON BUNKER AT 18TH ST WESTBOUND",,  39.099583, -94.648064,,,,,,
1020101,"ON CENTRAL AT 19TH ST EASTBOUND",,  39.106285, -94.650391,,,,,,
1020102,"ON STATE AVE AT 31ST WESTBOUND",,  39.116825, -94.664047,,,,,,
1020103,"ON STATE AVE AT 34TH WESTBOUND",,  39.116844, -94.667099,,,,,,
1020104,"ON STATE AVE AT 37TH WESTBOUND",,  39.116821, -94.670410,,,,,,
1020106,"ON 18TH AT CENTRAL SOUTHBOUND",,  39.105801, -94.649506,,,,,,
1020123,"ON LOWELL AT 17TH ST",,  39.100384, -94.648338,,,,,,
1022500,"ON CENTRAL AT TREMONT EB",,  39.102654, -94.624512,,,,,,
1022501,"ON CENTRAL AT 24TH WB",,  39.108578, -94.656319,,,,,,
1022601,"ON CENTRAL AT VALLEY EB",,  39.102905, -94.641312,,,,,,
102k001,"ON 7TH ST  AT CENTRAL SOUTHBOUND",,  39.102802, -94.626282,,,,,,
1030001,"ON 5TH ST  AT NEBRASKA NORTHBOUND",,  39.117615, -94.621292,,,,,,
1030002,"ON 5TH ST  AT WASHINGTON NORTHBOUND",,  39.119034, -94.621315,,,,,,
1030003,"ON 5TH ST  AT FREEMAN AVE NORTHBOUND",,  39.121323, -94.621353,,,,,,
1030004,"ON 5TH ST  AT WALKER NORTHBOUND",,  39.123203, -94.621338,,,,,,
1030005,"ON 5TH ST  AT RICHMOND NORTHBOUND",,  39.124123, -94.621353,,,,,,
1030006,"ON RICHMOND AT 4TH ST EASTBOUND",,  39.124165, -94.618820,,,,,,
1030007,"ON 3RD ST  AT RICHMOND NORTHBOUND",,  39.124348, -94.616035,,,,,,
1030008,"ON 3RD ST  AT GARFIELD NORTHBOUND",,  39.126389, -94.616028,,,,,,
1030009,"ON 3RD ST AT QUINDARO NORTHBOUND",,  39.130222, -94.616058,,,,,,
1030010,"ON QUINDARO AT 4TH ST WESTBOUND",,  39.130333, -94.619194,,,,,,
1030011,"ON QUINDARO AT 6TH ST WESTBOUND",,  39.130951, -94.623718,,,,,,
1030012,"ON 7TH ST  AT ROWLAND NORTHBOUND",,  39.134495, -94.624100,,,,,,
1030013,"ON 7TH ST AT MANORCREST NORTHBOUND",,  39.139141, -94.622078,,,,,,
1030014,"ON FUNSTON AT BRINKERHOFF EASTBOUND",,  39.142868, -94.620583,,,,,,
1030015,"ON FUNSTON AT DODGE EASTBOUND",,  39.142883, -94.618767,,,,,,
1030016,"ON FUNSTON AT FIBERGLASS EASTBOUND",,  39.142895, -94.616966,,,,,,
1030017,"ON FUNSTON AT CHRYSLER EASTBOUND",,  39.142925, -94.612808,,,,,,
1030018,"ON FUNSTON AT FAIRFAX RD EASTBOUND",,  39.142899, -94.611038,,,,,,
1030019,"ON SUNSHINE AT CHRYSLER WESTBOUND",,  39.146626, -94.612831,,,,,,
1030020,"ON SUNSHINE AT FIBERGLASS WESTBOUND",,  39.146622, -94.616684,,,,,,
1030021,"ON SUNSHINE AT DODGE WESTBOUND",,  39.146599, -94.618790,,,,,,
1030022,"ON SUNSHINE AT BRINKERHOFF WESTBOUND",,  39.146633, -94.620285,,,,,,
1030023,"ON SUNSHINE AT 925 SUNSHINE EASTBOUND",,  39.146458, -94.629173,,,,,,
1030024,"ON SUNSHINE AT HARVESTER EASTBOUND",,  39.146542, -94.624275,,,,,,
1030025,"ON SUNSHINE AT 7TH ST EASTBOUND",,  39.146515, -94.622101,,,,,,
1030026,"ON 7TH ST  AT FUNSTON SOUTHBOUND",,  39.143013, -94.622169,,,,,,
1030027,"ON 7TH ST  AT MANORCREST SOUTHBOUND",,  39.139347, -94.622208,,,,,,
1030028,"ON 7TH ST  AT ROWLAND SOUTHBOUND",,  39.134720, -94.624107,,,,,,
1030029,"ON QUINDARO AT 7TH ST EASTBOUND",,  39.131599, -94.626488,,,,,,
1030030,"ON QUINDARO AT 6TH ST EASTBOUND",,  39.130848, -94.623795,,,,,,
1030031,"ON QUINDARO AT 4TH ST EASTBOUND",,  39.130249, -94.619370,,,,,,
1030032,"ON 3RD ST  AT PARALLEL SOUTHBOUND",,  39.128120, -94.616158,,,,,,
1030033,"ON 3RD ST  AT GARFIELD SOUTHBOUND",,  39.126316, -94.616135,,,,,,
1030034,"ON 3RD ST  AT RICHMOND SOUTHBOUND",,  39.124275, -94.616142,,,,,,
1030035,"ON RICHMOND AT 4TH ST WESTBOUND",,  39.124241, -94.619263,,,,,,
1030036,"ON 5TH ST AT RICHMOND SOUTHBOUND",,  39.124252, -94.621498,,,,,,
1030037,"ON 5TH ST  AT WALKER SOUTHBOUND",,  39.123363, -94.621468,,,,,,
1030038,"ON 5TH ST  AT FREEMAN SOUTHBOUND",,  39.121460, -94.621460,,,,,,
1030039,"ON 5TH ST AT WASHINGTON SOUTHBOUND",,  39.119038, -94.621475,,,,,,
1030040,"ON 5TH ST  AT NEBRASKA SOUTHBOUND",,  39.117611, -94.621452,,,,,,
1040002,"ON 11TH AT BALTIMORE WESTBOUND",,  39.100849, -94.584038,,,,,,
1040016,"ON MINNESOTA AT 8TH WESTBOUND",,  39.115604, -94.629799,,,,,,
1040017,"ON MINNESOTA AT 9TH WESTBOUND",,  39.115601, -94.632240,,,,,,
1040018,"ON 10TH AT MINNESOTA SOUTHBOUND",,  39.115433, -94.635178,,,,,,
1040019,"ON 10TH AT ANN SOUTHBOUND",,  39.113682, -94.635162,,,,,,
1040020,"ON 10TH AT GRANDVIEW BLVD SOUTHBOUND",,  39.111843, -94.635300,,,,,,
1040021,"ON 10TH AT ORVILLE SOUTHBOUND",,  39.109894, -94.635498,,,,,,
1040022,"ON 10TH AT SPLITLOG SOUTHBOUND",,  39.108654, -94.635544,,,,,,
1040023,"ON 10TH AT TENNY SOUTHBOUND",,  39.106079, -94.635544,,,,,,
1040024,"ON 10TH AT FORD SB",,  39.104919, -94.635536,,,,,,
1040025,"ON 10TH AT CALVIN SOUTHBOUND",,  39.103188, -94.635506,,,,,,
1040026,"ON 10TH AT RIDGE SOUTHBOUND",,  39.102333, -94.635498,,,,,,
1040027,"ON 10TH AT CENTRAL SOUTHBOUND",,  39.100948, -94.635490,,,,,,
1040028,"ON 10TH AT PACIFIC SOUTHBOUND",,  39.098846, -94.635475,,,,,,
1040029,"ON 10TH AT GILMORE SOUTHBOUND",,  39.095978, -94.635452,,,,,,
1040031,"ON 10TH AT RAY SOUTHBOUND",,  39.093914, -94.635445,,,,,,
1040032,"ON 10TH AT MONTANA SOUTHBOUND",,  39.092537, -94.635406,,,,,,
1040033,"ON 10TH AT KANSAS SOUTHBOUND",,  39.087524, -94.635361,,,,,,
1040034,"ON 10TH AT CUSTER SOUTHBOUND",,  39.086643, -94.635345,,,,,,
1040035,"ON 10TH AT SHAWNEE SOUTHBOUND",,  39.085896, -94.635330,,,,,,
1040036,"ON 10TH AT ARGENTINE BLVD SOUTHBOUND",,  39.084911, -94.635330,,,,,,
1040037,"ON ARGENTINE AT OSAGE SOUTHBOUND",,  39.084305, -94.636360,,,,,,
1040038,"ON 12TH ST AT METROPOLITAN SB",,  39.071789, -94.640320,,,,,,
1040039,"ON 12TH STREET AT OSAGE NORTHBOUND",,  39.084072, -94.639885,,,,,,
1040040,"ON OSAGE AT ARGENTINE EASTBOUND",,  39.084164, -94.635368,,,,,,
1040041,"ON 12TH AT RUBY SOUTHBOUND",,  39.071533, -94.640343,,,,,,
1040042,"ON RUBY AT VALLEY WESTBOUND",,  39.071507, -94.641579,,,,,,
1040043,"ON RUBY AT 14TH WESTBOUND",,  39.071529, -94.644333,,,,,,
1040044,"ON RUBY AT 15TH WESTBOUND",,  39.071522, -94.646141,,,,,,
1040045,"ON RUBY AT 17TH WESTBOUND",,  39.071552, -94.648254,,,,,,
1040046,"ON RUBY AT 18TH WESTBOUND",,  39.071552, -94.649277,,,,,,
1040047,"ON RUBY AT 22ND WESTBOUND",,  39.071590, -94.653343,,,,,,
1040048,"ON 22ND AT METROPOLITAN NORTHBOUND",,  39.072769, -94.653358,,,,,,
