line,lat,long,county_name,position,income2011,income2000,stop_name,county,tract,tract_lookup
1,40.701961,-74.013397,Manhattan,1,124048,105456,South Ferry,61,900,000900
1,40.708107,-74.013445,Manhattan,2,114412,81609,Rector St.,61,1300,001300
1,40.715576,-74.009031,Manhattan,3,205192,128384,Chambers St.,61,2100,002100
1,40.719918,-74.00662,Manhattan,4,164656,113332,Franklin St.,61,3300,003300
1,40.722497,-74.005994,Manhattan,5,75556,85483,Canal St.,61,3700,003700
1,40.728656,-74.005086,Manhattan,6,74706,57567,Houston St.,61,6700,006700
1,40.733402,-74.002748,Manhattan,7,104857,58202,Christopher St.-Sheridan Square,61,7300,007300
1,40.737826,-74.000201,Manhattan,8,94292,81696,14 St.-7 Ave.,61,8100,008100
1,40.741617,-73.997197,Manhattan,9,110642,56939,18 St.,61,8700,008700
1,40.74412,-73.995348,Manhattan,10,114655,58381,23 St.,61,9100,009100
1,40.747216,-73.993121,Manhattan,11,107375,60993,28 St.,61,9500,009500
1,40.75102,-73.990323,Manhattan,12,155278,71641,34 St.-Penn Station,61,10900,010900
1,40.754301,-73.986623,Manhattan,13,118487,47813,Times Square-42 St.,61,11300,011300
1,40.761212,-73.983357,Manhattan,14,110147,52386,50 St.,61,13100,013100
1,40.767367,-73.982137,Manhattan,15,131250,80934,59 St.-Columbus Circle,61,13700,013700
1,40.773457,-73.982004,Manhattan,16,142452,96588,66 St.-Lincoln Center,61,14900,014900
1,40.779146,-73.981822,Manhattan,17,115833,75327,72 St.,61,15900,015900
1,40.783985,-73.979662,Manhattan,18,108281,93335,79 St.,61,16700,016700
1,40.788272,-73.976083,Manhattan,19,133427,87026,86 St.,61,17500,017500
1,40.794312,-73.972015,Manhattan,20,75481,53229,96 St.,61,18300,018300
1,40.799584,-73.968091,Manhattan,21,88445,56836,103 St.,61,19100,019100
1,40.804257,-73.966422,Manhattan,22,57198,49750,Cathedral Parkway (110 St.),61,19900,019900
1,40.808245,-73.963495,Manhattan,23,26406,34702,116 St.-Columbia University,61,20300,020300
1,40.81523,-73.958366,Manhattan,24,51825,34940,125 St.,61,21100,021100
1,40.821454,-73.953856,Manhattan,25,27477,26771,137 St.-City College,61,22301,022301
1,40.826513,-73.950162,Manhattan,26,37018,21692,145 St.,61,22900,022900
1,40.83386,-73.94462,Manhattan,27,43805,26491,157 St.,61,24100,024100
1,40.840717,-73.93972,Manhattan,28,37905,21354,168 St.,61,25100,025100
1,40.849435,-73.933428,Manhattan,29,27324,22279,181 St.,61,26900,026900
1,40.856413,-73.932605,Manhattan,30,38994,30387,191 St.,61,27900,027900
1,40.861187,-73.925078,Manhattan,31,38502,26238,Dyckman St.,61,28300,028300
