Zip Code,StCty,County Name,State,Multi,CBSA,CBSA Name,CBSA Type
36003,01001,Autauga,AL,00,33860,"Montgomery, AL",MSA
36006,01001,Autauga,AL,01,33860,"Montgomery, AL",MSA
36008,01001,Autauga,AL,00,33860,"Montgomery, AL",MSA
36022,01001,Autauga,AL,01,33860,"Montgomery, AL",MSA
36051,01001,Autauga,AL,01,33860,"Montgomery, AL",MSA
36066,01001,Autauga,AL,01,33860,"Montgomery, AL",MSA
36067,01001,Autauga,AL,01,33860,"Montgomery, AL",MSA
36068,01001,Autauga,AL,00,33860,"Montgomery, AL",MSA
36091,01001,Autauga,AL,01,33860,"Montgomery, AL",MSA
36703,01001,Autauga,AL,01,33860,"Montgomery, AL",MSA
36749,01001,Autauga,AL,01,33860,"Montgomery, AL",MSA
36758,01001,Autauga,AL,01,33860,"Montgomery, AL",MSA
36502,01003,Baldwin,AL,01,19300,"Daphne-Fairhope-Foley, AL",MISA
36507,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36511,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36526,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36527,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36530,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36532,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36533,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36535,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36536,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36542,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36547,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36549,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36550,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36551,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36555,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36559,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36561,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36562,01003,Baldwin,AL,01,19300,"Daphne-Fairhope-Foley, AL",MISA
36564,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36567,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36574,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36576,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36577,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36578,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36579,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36580,01003,Baldwin,AL,00,19300,"Daphne-Fairhope-Foley, AL",MISA
36005,01005,Barbour,AL,01,21640,"Eufaula, AL-GA",MISA
36016,01005,Barbour,AL,01,21640,"Eufaula, AL-GA",MISA
36017,01005,Barbour,AL,00,21640,"Eufaula, AL-GA",MISA
36027,01005,Barbour,AL,01,21640,"Eufaula, AL-GA",MISA
36048,01005,Barbour,AL,00,21640,"Eufaula, AL-GA",MISA
36053,01005,Barbour,AL,01,21640,"Eufaula, AL-GA",MISA
36072,01005,Barbour,AL,00,21640,"Eufaula, AL-GA",MISA
36311,01005,Barbour,AL,01,21640,"Eufaula, AL-GA",MISA
36317,01005,Barbour,AL,01,21640,"Eufaula, AL-GA",MISA
36374,01005,Barbour,AL,01,21640,"Eufaula, AL-GA",MISA
35034,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
35035,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
35042,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
35074,01007,Bibb,AL,00,13820,"Birmingham-Hoover, AL",MSA
35111,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
35115,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
35184,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
35188,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
35456,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
36701,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
36750,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
36792,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
36793,01007,Bibb,AL,01,13820,"Birmingham-Hoover, AL",MSA
