Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Arab World,ARB,0.681238404,0.757483691,0.872034768,0.996874873,1.163803959,1.270964596,1.330210662,1.544060416,1.789029871,1.800872757,1.993136466,2.109018127,2.394980409,2.270822085,2.181104316,2.564596991,2.627192611,2.738537141,2.837727364,3.063933117,2.903314402,2.699058849,2.7929935,2.959243362,3.041801909,3.263079636,3.179782436,3.280415353,3.247901051,3.171722234,3.271835803,3.481716907,3.718978973,3.715639647,3.488771744,3.387441784,3.228971968,3.439384109,3.427122459,3.83060136,3.65608145,3.647848267,3.91280469,4.018541067,4.18790356,4.24993272,4.369107192,4.535412562,,,,
Caribbean small states,CSS,2.069263431,2.720997394,1.356892625,2.377326679,2.614763895,2.536086647,2.976779337,2.927410873,3.059754395,4.257547814,5.031319828,5.082783099,6.037157893,5.74827122,6.101650167,6.65160731,7.314154634,6.957340968,6.963832844,7.123448254,5.904406511,5.661116277,5.062884984,5.050360957,5.534356681,4.791057849,4.993437303,4.617712699,5.057568033,5.37471095,6.100814876,5.992845526,5.345710878,5.830111232,6.191590111,6.339127928,5.990127407,5.868502733,6.433177357,6.73408768,6.856784267,7.038878016,7.171225277,7.728084733,7.553543656,8.344179831,8.948804933,10.51765319,,,,
East Asia & Pacific (all income levels),EAS,1.001319081,0.898140447,0.917775649,0.944088856,1.000257136,1.05290002,1.033922297,1.121059472,1.276220664,1.528785641,1.60740178,1.671049677,1.797395693,1.756156927,1.81751386,1.872942186,1.993651803,2.09451788,2.131574218,2.084027326,2.025282103,2.067261743,2.101877351,2.213314208,2.281698702,2.324275451,2.390676308,2.543649745,2.576527526,2.613391258,2.701389395,2.791399023,2.902732705,3.033724218,3.187500067,3.303736618,3.325821035,3.125323672,3.128376016,3.208217967,3.246201674,3.36550131,3.779458312,4.179589325,4.397925625,4.65212937,4.850146504,4.94966506,,,,
East Asia & Pacific (developing only),EAP,0.70834434,0.568797392,0.551823992,0.543238569,0.576258269,0.613710072,0.512864089,0.54735441,0.644394865,0.819477832,0.897758773,0.928392682,0.950491058,0.943918306,1.059987326,1.09122185,1.184451116,1.295840655,1.307198302,1.270163871,1.243179926,1.319736926,1.369408896,1.453161781,1.547273886,1.59673679,1.672481145,1.764104831,1.767925902,1.804626531,1.896202884,1.966796236,2.081800496,2.180490859,2.347512385,2.439546752,2.446617382,2.278456409,2.271024488,2.330681853,2.390069438,2.499026277,2.957378096,3.383702916,3.641785554,3.92821847,4.132686294,4.26967245,,,,
Euro area,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.877837722,8.630656642,8.374154794,8.329147011,8.519311005,8.674718724,8.517196025,8.660713328,8.249906585,8.29017167,8.456581577,8.399287134,8.539846824,8.53603915,8.434324028,8.332577837,8.183762452,7.98672327,,,,
Europe & Central Asia (all income levels),ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.292619633,8.738222468,8.167063238,8.134182779,8.178955368,7.845811308,7.777893822,7.539900584,7.594667282,7.680627924,7.645121719,7.854273695,7.891299609,7.85276512,7.962409166,7.940104165,7.904309797,,,,
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84880963,8.953253839,7.819187102,7.584124861,7.418298013,6.959922309,6.77062845,6.700916256,6.803668654,6.812855493,6.845495008,7.117511709,7.211064328,7.246339866,7.51359255,7.66410903,7.787557906,,,,
European Union,EUU,5.946398861,6.234703528,6.600809362,6.817827323,6.990210222,7.1440491,7.252278074,7.620597517,8.035578427,8.521906716,8.689705057,8.979652444,9.383990131,9.199120301,8.978616807,9.520092625,9.446710812,9.717053262,10.0898269,9.769744028,9.188315211,8.956494587,8.807671137,8.730752468,8.936841662,8.891157533,9.035764791,8.889862089,9.130949691,8.74178375,8.92183781,8.669517088,8.446736181,8.332867471,8.494464567,8.698860168,8.447499384,8.447376001,8.021547846,8.040160504,8.200604018,8.116481663,8.269158578,8.259846022,8.166859641,8.160621868,8.01048723,7.826752432,,,,
Heavily indebted poor countries (HIPC),HPC,0.123021091,0.119853533,0.123731513,0.130202824,0.148604669,0.150279969,0.15822357,0.178706241,0.192173657,0.203857624,0.213249213,0.212890049,0.222392458,0.221171043,0.214979233,0.203837072,0.205505674,0.208181481,0.205547648,0.216562954,0.206768293,0.205634066,0.201360868,0.190076466,0.196628455,0.168645915,0.182837955,0.192794123,0.198629932,0.172194322,0.164894847,0.165298421,0.170320668,0.167803914,0.175262759,0.178619535,0.180979125,0.168018109,0.16462182,0.164121458,0.164080723,0.16579962,0.176498244,0.183994308,0.18534392,0.186906032,0.201486444,0.199626423,,,,
High income,HIC,7.694752671,7.948524457,8.290867283,8.608801397,8.884590816,9.175151709,9.487622787,9.903078403,10.42800878,11.2321408,11.34091588,11.79162095,12.39813948,11.95606621,11.46251671,11.98000141,12.14924277,12.382289,12.58042362,12.19483688,11.586112,11.06605702,10.97718885,11.19273672,11.245951,11.20796327,11.44670126,11.78437309,11.98948799,11.82091118,11.91991653,11.9063247,12.11362931,12.15600922,12.12500523,12.34814082,12.37070927,12.21010295,12.10990713,12.27333515,12.1135344,12.12153021,12.25920825,12.3714345,12.31914383,12.19583959,12.16151087,11.93901486,,,,
High income: nonOECD,NOC,1.45271098,1.81210312,1.94351883,2.352452101,2.57670374,2.53867824,3.019298453,3.133756204,4.058498697,4.874704644,5.59698676,6.187969227,7.044460121,6.793515667,6.467835206,7.556154937,7.932275021,8.214127346,8.473972961,9.093717309,8.512735592,7.956109066,7.99748334,8.120233854,8.427224692,9.119207693,8.696065313,9.157962853,9.488252791,9.704129342,10.33316662,11.35355468,12.27846084,12.4776264,11.00818891,10.97504832,10.76122564,11.15389526,11.21731041,12.8312927,12.31780537,12.51538045,13.02516306,13.61849926,14.03685374,14.12511108,14.3222881,14.59167114,,,,
High income: OECD,OEC,7.986408983,8.240580704,8.597812143,8.916395988,9.199459526,9.510380128,9.819876636,10.25584245,10.76555186,11.57500548,11.65654246,12.10456987,12.70314538,12.25413114,11.75515025,12.24576988,12.40757924,12.64238588,12.84237934,12.39935899,11.79224993,11.27813446,11.18449661,11.41016872,11.44947142,11.36329656,11.65131389,11.9829133,12.18130159,11.98600519,12.04625106,11.96068124,12.12072042,12.15275351,12.22438475,12.46725476,12.50809883,12.30844847,12.19704741,12.254395,12.12077979,12.11480296,12.22455141,12.29966483,12.20951432,12.06739324,12.01188168,11.74516999,,,,
Latin America & Caribbean (all income levels),LCN,1.329537662,1.371270566,1.334517736,1.40554335,1.417301132,1.453255614,1.52115438,1.583012213,1.67115802,1.798833897,1.851025821,1.895601875,2.019542727,2.085837104,2.074648645,2.1224849,2.168519494,2.282966039,2.389399034,2.456670843,2.377615798,2.388809167,2.251348244,2.250347224,2.253076814,2.292245622,2.361172947,2.37249004,2.368842756,2.331158206,2.333055818,2.339945,2.36528972,2.436473915,2.451621304,2.505482985,2.578435442,2.638529046,2.658817071,2.59982551,2.631009208,2.614798613,2.616790597,2.622914418,2.672569029,2.707664061,2.799014219,2.911832101,,,,
Latin America & Caribbean (developing only),LAC,1.298452187,1.327788299,1.31767583,1.376500444,1.381790761,1.423030958,1.485881093,1.549721897,1.637364265,1.743573791,1.784669015,1.830259942,1.946062724,2.012514233,2.000912589,2.035677173,2.071965164,2.198463974,2.300361198,2.364345283,2.300558375,2.310999514,2.181785452,2.178628969,2.174587698,2.222651941,2.290558161,2.305609767,2.300685649,2.259137338,2.252261323,2.260909677,2.295540605,2.360934818,2.373981624,2.426218344,2.50408687,2.564560171,2.577977701,2.515353655,2.545527301,2.525648427,2.52690799,2.526046982,2.576465166,2.605175116,2.691329885,2.781162068,,,,
Least developed countries: UN classification,LDC,0.094342631,0.103234402,0.097059748,0.104391268,0.115857849,0.115617229,0.117170024,0.160201169,0.14933079,0.151080654,0.151753093,0.149519581,0.159564747,0.155419293,0.147848316,0.139308576,0.141021311,0.144999345,0.151023941,0.153973531,0.149391827,0.14669046,0.14728806,0.1486523,0.151118137,0.148415217,0.151631946,0.15521396,0.150622402,0.146829981,0.145161933,0.151907129,0.143260756,0.142188962,0.163443629,0.172219356,0.170623811,0.156499244,0.165466392,0.169157885,0.178415187,0.187867372,0.191470827,0.217608322,0.223113719,0.235445815,0.243450082,0.243370425,,,,
Low & middle income,LMY,0.918913886,0.863972123,0.871182879,0.892405056,0.945133607,0.993213729,0.953097065,1.021456836,1.106391105,1.239404695,1.321046803,1.361455657,1.424575503,1.441617586,1.51594946,1.575854554,1.663317857,1.757246859,1.797474408,1.771259644,1.747119234,1.815342588,1.846933815,1.907367902,1.982398945,2.029534354,2.098152462,2.176020743,2.183322779,2.176617257,2.2212992,2.272400287,2.229952978,2.18330885,2.219678695,2.247828831,2.214061348,2.145205927,2.135199828,2.164950577,2.179580014,2.210695756,2.40894825,2.580176582,2.681692848,2.812326738,2.91716441,2.996442951
Low income,LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263534363,0.274865109,0.278848091,0.276929918,0.267803766,0.26896471,0.281089839,0.286902486,0.298385916,0.281678122,0.288162339
Lower middle income,LMC,0.435233903,0.456531684,0.48094826,0.482548563,0.537324402,0.555128899,0.527688912,0.572504249,0.577714225,0.600842198,0.631698623,0.650235976,0.678531489,0.691003817,0.704333792,0.740433782,0.813737541,0.817043197,0.87245045,0.864759699,0.878096851,0.898964334,0.923706585,0.942126243,0.987144619,1.016496666,1.039082827,1.103417455,1.108558729,1.12270934,1.169608009,1.250045438,1.205446598,1.157213282,1.168137245,1.200637761,1.192380151,1.167421047,1.202359295,1.241029413,1.252370479,1.264138714,1.314897567,1.353549784,1.370616284,1.382133284,1.45266767,1.518794356
Middle East & North Africa (all income levels),MEA,0.993522935,1.065649956,1.191431057,1.349995696,1.562340297,1.729405555,1.789634621,2.076279505,2.278009348,2.340263211,2.556555128,2.671420828,3.073575,3.030230502,2.904753682,3.330577132,3.404637742,3.480401928,3.548531247,3.485971326,3.278774084,3.208049026,3.313684055,3.437165519,3.526703522,3.644488947,3.586258699,3.722706472,3.743907667,3.794823362,3.886805846,4.139175714,4.288825783,4.516615597,4.274584736,4.172734436,4.052532688,4.307096011,4.273587218,4.684713873,4.573715414,4.588366095,4.922791226,5.076676797,5.239373137,5.386927889,5.424141962,5.635642179
Middle East & North Africa (developing only),MNA,0.843526667,0.852843993,0.909006185,0.999487906,1.146577536,1.326166975,1.312660456,1.626572196,1.612434697,1.655407259,1.717604284,1.751508846,1.975734944,1.987097315,1.976018599,2.282863277,2.308989557,2.387798509,2.418671621,2.189231099,1.975614942,2.055323551,2.223276733,2.330814332,2.359001437,2.341685261,2.419059803,2.530391118,2.537907994,2.568561819,2.58610268,2.69653749,2.651332635,2.910475066,2.923484421,2.878213162,2.86810473,3.079975131,2.998498721,3.081382975,3.089248781,3.105510539,3.371350482,3.452128614,3.564318747,3.677710348,3.738806742,3.844189734
Middle income,MIC,1.006310452,0.946149876,0.954384599,0.977844765,1.036124374,1.089028451,1.044887844,1.119236386,1.212137476,1.359167638,1.448864584,1.495176361,1.564215775,1.583179149,1.667338665,1.733994468,1.833258832,1.939238725,1.984728001,1.955583239,1.930799413,2.010681392,2.046649204,2.116351868,2.202301429,2.255878736,2.332875313,2.422435089,2.43312842,2.428317867,2.481843068,2.541400466,2.497037205,2.448364358,2.491607962,2.524939057,2.48990759,2.414966241,2.404513136,2.440645244,2.460488655,2.500460462,2.731318739,2.929956351,3.049577975,3.202192809,3.329715203,3.424336954
North America,NAC,15.22153307,15.56809381,15.99246693,16.53862687,17.02208779,17.63785042,18.14896972,18.66845243,19.36166954,20.62711185,20.5335955,21.32560691,21.9869108,21.0785483,20.08038685,20.7481762,21.06171909,21.4670029,21.36652006,20.44750834,19.44923757,18.29856133,18.25099803,18.64605686,18.52353117,18.31431759,18.95433353,19.61172336,19.66122054,19.20915438,18.91729166,18.74487332,19.54855746,19.43946837,19.27070019,19.4294019,19.77190323,19.36355189,19.40080658,19.33037981,18.71972554,18.68100062,18.72238672,18.83971216,18.78238694,18.31914832,18.32964912,17.79525382
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,7.319742692,7.541584196,7.853967935,8.140915822,8.38230178,8.658833232,8.93382392,9.315362574,9.76664022,10.48699829,10.5627005,10.95292277,11.47686857,11.07057423,10.62189704,11.0612383,11.19589087,11.40513556,11.57540001,11.19695285,10.66790979,10.22584598,10.10035583,10.29158546,10.31937847,10.24156273,10.49492435,10.75745577,10.9393768,10.75937008,10.8007154,10.71691716,10.84341588,10.87051479,10.91255477,11.12672564,11.16284326,10.98662568,10.87597466,10.92356869,10.77935898,10.76801749,10.86671245,10.92936624,10.87238733,10.76700805,10.73482395,10.51951355
Other small states,OSS,,,,,,,,,,,,0.578573884,0.895706885,0.896429478,0.878069544,0.953312886,1.032697722,1.186496739,1.114677558,1.065541256,1.015172677,0.998949192,0.855366312,0.902858676,0.947130026,0.82218563,0.757491483,0.765496361,0.904735799,0.872787981,0.590320679,0.743360524,0.817294419,0.821187283,0.99920256,0.948370116,1.040082937,0.935899981,0.933979969,0.958873965,1.213044394,1.346585943,1.357242952,1.306778781,1.347223327,1.379337853,1.375603848,1.461963419
Pacific island small states,PSS,0.364492313,0.438733883,0.445491248,0.675831753,0.566985987,0.555355577,0.611025076,0.635621782,0.666357866,0.761003318,0.828189644,0.853354386,0.900019155,0.928847928,0.888262401,0.67084608,0.979986059,0.875802742,1.004988419,0.974829203,1.188907411,0.978312636,0.886061059,0.776160674,0.811716632,0.774717014,0.684821698,0.760466285,0.833848743,0.95775134,0.86500797,0.815474641,0.833532507,0.848978736,0.883325092,0.909247289,0.807817821,0.781339848,0.838558681,0.845425664,1.015866127,0.876076276,1.29145813,1.391526156,1.237859784,1.195248044,1.168171254,1.059411294
Small states,SST,0.853474889,1.102991664,0.585343662,1.006031248,1.094997274,1.083723099,1.312002835,1.383562307,1.382255409,1.874489178,2.201607008,2.219083466,2.722594965,2.605131932,2.699593518,2.898917416,3.179792034,3.116898127,3.072052341,3.078303891,2.64209214,2.521079914,2.221147277,2.221608871,2.389397485,2.058335339,2.056636428,1.930348074,2.135108387,2.203261731,2.222157084,2.26234332,2.108021174,2.238350707,2.440763132,2.441595126,2.380728342,2.270179973,2.417764628,2.504196838,2.698846469,2.808001122,2.870885666,2.981867667,2.938493702,3.145282682,3.27932067,3.705326806
South Asia,SAS,0.256246327,0.276161075,0.291923862,0.280704101,0.301251124,0.304164604,0.300588887,0.32114069,0.319010123,0.318329422,0.324098411,0.327621209,0.332259105,0.335950755,0.356103896,0.361793806,0.417528016,0.412637578,0.422058117,0.434443558,0.455934092,0.47415238,0.50114486,0.507081566,0.543618057,0.567479721,0.592455158,0.624956181,0.663743622,0.681944327,0.708163904,0.737295199,0.751180946,0.78395259,0.815041869,0.872351718,0.888774612,0.893934587,0.934329327,0.955476713,0.956190522,0.961036095,0.986304823,1.027430042,1.056222258,1.112701273,1.175721206,1.24189053
Sub-Saharan Africa (all income levels),SSF,0.553940002,0.559515518,0.572524229,0.612664847,0.663520394,0.65983539,0.667930794,0.669113511,0.706103674,0.759571674,0.851752476,0.874674795,0.905009175,0.935051054,0.883525752,0.904113683,0.886633841,0.876678005,0.961104706,0.967290302,1.00399252,1.029980357,1.017295538,1.061342798,1.057701355,1.041994141,0.997539189,1.03281095,0.95635426,0.902454495,0.893847665,0.876505919,0.887169723,0.868185734,0.835133458,0.838898625,0.834324944,0.807691044,0.799302872,0.828905109,0.811130247,0.799560132,0.81647559,0.868534488,0.857211501,0.827692681,0.849671334,0.845383052
Sub-Saharan Africa (developing only),SSA,0.554448212,0.560024348,0.57302605,0.613205793,0.664098137,0.660424314,0.668530644,0.66970146,0.706670684,0.760200057,0.852339453,0.875168271,0.905665408,0.935610069,0.883968836,0.904533727,0.887011023,0.87700665,0.961491858,0.967693445,1.00440779,1.030435428,1.017808628,1.061879698,1.058299013,1.042567587,0.998053571,1.033344201,0.956817052,0.902879762,0.894123002,0.876755889,0.887648779,0.868776539,0.835541888,0.839344603,0.834490029,0.808049791,0.799195028,0.828870646,0.807225118,0.793061487,0.808718961,0.862853866,0.851636916,0.822197354,0.84429062,0.840126214
