gsa_building_no,address,city,state,zipcode,latitude,longitude,costar_number,bldg_rsf,total_leased_rsf,percent_govt_leased,total_annual_rent,rent_prsf,remaining_total_term,remaining_firm_term
VA0831,400 DULANY ST,ALEXANDRIA,VA,22314-5774,38.802093,-77.063467,54303,2386940,2386940,100,7.15E+07,29.96,12.4,12.4
DC0689,"1200 NEW JERSEY AVE, SE",WASHINGTON,DC,20003-3310,38.87559562,-77.0028042,129864,1350000,1350000,100,4.35E+07,32.24,9.56,9.55
MO1937,333 W PERSHING RD.,KANSAS CITY,MO,64108-4302,39.083416,-94.587876,6944502,1140000,1140000,100,3.68E+07,32.26,9.5,9.5
DC0407,445 12TH ST SW,WASHINGTON,DC,20554-0005,38.915824,-77.04338,129844,602350,602350,100,3.52E+07,58.44,5.55,5.55
GA1007,100 ALABAMA ST SW,ATLANTA,GA,30303-8701,33.753153,-84.39129,GSA,1487565,1487565,100,3.39E+07,22.81,11.5,11.5
PA0809,2970 MARKET STREET,PHILADELPHIA,PA,19104-9699,39.954709,-75.182321,300537,862692,862692,100,3.30E+07,38.3,18.41,18.41
DC0067,"145 N STREET, NE",WASHINGTON,DC,20002-2371,38.902671,-76.990873,6389751,589088,575790,97.74,2.88E+07,50.1,13.32,13.32
DC0011,2 MASSACHUSETTS AVE NE,WASHINGTON,DC,20002-4945,38.897527,-77.009006,130634,1139531,1006206,88.3,2.66E+07,26.43,6.73,6.73
DC0369,300 E ST SW,WASHINGTON,DC,20024-3202,38.883212,-77.01596,130089,597249,551907,92.41,2.33E+07,42.16,0.3,0.3
VA0283,600-700 ARMY NAVY DR,ARLINGTON,VA,22202-4200,38.865137,-77.057143,137396,1469055,503886,34.3,2.28E+07,45.26,4.83,4.83
DC1216,601 D ST NW,WASHINGTON,DC,20004-2904,38.90369,-77.044636,129378,520180,520180,100,2.25E+07,43.34,3.42,3.42
MD1324,5600 FISHERS LN,ROCKVILLE,MD,20852-1750,39.062769,-77.114062,131603,1332482,801550,60.15,2.16E+07,27,3.33,1.33
DC1230,2100 2ND ST SW,WASHINGTON,DC,20593-0005,38.86454,-77.013784,129811,607736,592128,97.43,2.16E+07,36.53,6.12,6.12
DC0049,"450 5TH STREET, NW",WASHINGTON,DC,20001-2739,38.895473,-77.018949,130664,481721,477473,99.12,2.10E+07,44.07,10.79,10.79
DC0040,"500 12TH ST, SW",WASHINGTON,DC,20024-6121,38.883196,-77.027994,753262,502997,502997,100,2.04E+07,40.65,5.8,5.8
DC1123,1800 G ST NW,WASHINGTON,DC,20006-4403,38.898287,-77.042176,129407,584003,448210,76.75,2.00E+07,44.67,1.09,1.07
VA1451,2530 CRYSTAL PLAZA DRIVE,ARLINGTON,VA,22202-3905,38.8564818,-77.051782,137450,558187,549317,98.41,2.00E+07,36.45,1.88,1.88
IL2485,2111 WEST ROOSEVELT ROAD,CHICAGO,IL,60608-1128,41.866664,-87.679981,5050343,429728,429728,100,1.99E+07,46.4,8,8
DC0404,1099 14TH STREET,WASHINGTON,DC,20005-3419,38.903713,-77.031918,129948,440874,405158,91.9,1.78E+07,44.06,0.63,0.63
VA1545,200 STOVALL STREET,ALEXANDRIA,VA,22332-0001,38.803642,-77.072627,137892,640000,606575,94.78,1.77E+07,29.11,2.05,1.02
VA0301,5107 LEESBURG PIKE,FALLS CHURCH,VA,22041-3260,38.845467,-77.11669,134760,545422,524381,96.14,1.72E+07,32.78,3.82,3.82
NY6440,99 10TH AVENUE NY NY,NEW YORK-MANHATTAN,NY,10011-4713,40.743975,-74.006909,158456,480000,269961,56.24,1.71E+07,63.34,4.17,0
MI1951,985 MICHIGAN AVE,DETROIT,MI,48226-1128,42.331599,-83.059545,7385857,702518,484150,68.92,1.69E+07,34.97,3.04,3.04
DC0321,555 4TH ST NW,WASHINGTON,DC,20001-2733,38.896795,-77.016165,129552,345776,345776,100,1.63E+07,47.23,5.75,2.88
VA0349,4201 WILSON BLVD,ARLINGTON,VA,22203-1859,38.880077,-77.111091,137325,570000,540810,94.88,1.63E+07,30.17,1.75,1.75
DC0569,550 12TH STREET SW,WASHINGTON,DC,20472-0001,38.887379,-77.02029,478492,427463,427463,100,1.62E+07,37.91,2.03,2.03
DC0454,888 FIRST ST NE,WASHINGTON,DC,20002-4270,38.902268,-77.005899,130464,503997,503997,100,1.61E+07,31.95,3.49,3.49
AL2207,"1200 REV. ABRAHAM WOODS, JR. BLVD.",BIRMINGHAM,AL,35285-0001,33.45432,-86.947499,6890915,587528,587528,100,1.58E+07,26.87,15.83,15.83
DC0506,1800 M ST NW,WASHINGTON,DC,20036-5802,38.905618,-77.041715,129118,585545,358282,61.19,1.57E+07,43.71,2.39,1.38
VA0042,675 NORTH RANDOLPH STREET,ARLINGTON,VA,22203-1823,38.878813,-77.109228,GSA,352740,352740,100,1.55E+07,44.02,14.73,14.73
DC0295,1120 VERMONT AVE NW,WASHINGTON,DC,20005-3523,38.904392,-77.032679,129252,444235,357194,80.41,1.53E+07,42.84,2.07,2.07
DC0403,1250 MARYLAND AVE SW,WASHINGTON,DC,20024-2141,38.884103,-77.029583,129031,485900,328638,67.63,1.52E+07,46.26,0.67,0.67
DC1234,131 M ST NE,WASHINGTON,DC,20002-3300,38.905633,-77.004828,130044,408400,354603,86.83,1.52E+07,42.74,4.96,4.96
DC0215,355 E ST SW,WASHINGTON,DC,20024-3221,38.8832909,-77.016487,GSA,356153,356153,100,1.51E+07,42.3,9.12,8.87
NY7035,601 WEST 26TH ST,NEW YORK-MANHATTAN,NY,10001-1101,40.751022,-74.00613,157552,2700000,250395,9.27,1.47E+07,58.68,2.17,2.17
DC0714,1900 HALF STREET,WASHINGTON,DC,20593-0004,38.86632769,-77.01006109,130402,477562,437767,91.67,1.46E+07,33.36,1.8,0.89
VA0854,1801 NORTH LYNN STREET,ROSSLYN,VA,22209-2000,38.896179,-77.07083,137498,349741,343311,98.16,1.45E+07,42.28,1.25,1.25
DC0309,400 C STREET SW,WASHINGTON,DC,20547-0001,38.88566156,-77.01797017,129024,437635,392302,89.64,1.45E+07,36.9,0.76,0.76
VA0838,1851 S BELL ST,ARLINGTON,VA,22202-3538,38.856581,-77.051872,137505,393587,345431,87.76,1.43E+07,41.35,0.08,0.08
DC0376,470/490 LENFANT PLZ SW,WASHINGTON,DC,20024-2104,38.886816,-77.025817,129026,384157,331333,86.25,1.38E+07,41.72,3.27,3.27
MD1295,1500 WOODLAWN DR,WOODLAWN,MD,21207-4009,39.306333,-76.734492,139747,824563,824563,100,1.35E+07,16.38,6.59,6.59
NJ4599,11 CENTRE STREET,NEWARK,NJ,07102-4501,40.73948,-74.167531,605349,247067,247067,100,1.34E+07,54.27,10.63,0
NJ4566,1100 RAYMOND BLVD,NEWARK,NJ,07102-5234,40.73582091,-74.16689135,164522,384020,332300,86.53,1.34E+07,40.19,2.3,2.3
DC0365,409 3RD ST. S.W.,WASHINGTON,DC,20024-3212,38.884823,-77.01519,129704,398043,355504,89.31,1.32E+07,37.01,2.87,2.62
DC0175,"395 E STREET, S.W.",WASHINGTON,DC,20546-0001,38.88352019,-77.01720229,658120,280401,280401,100,1.31E+07,46.64,4.08,3.88
