estado,codigo_municipio,municipio,candidato,partido
AMAZONAS,1,ATURES,YOLANDA LAROSA,Plataforma
AMAZONAS,1,ATURES,JOSÉ ARIANNA,UNTC
ANZOÁTEGUI,3,BOLÍVAR,CARLOS MICHELANGELI,AD
ANZOÁTEGUI,3,BOLÍVAR,RICHARD ARTEAGA,MPJ
ANZOÁTEGUI,3,BOLÍVAR,YERMIS R ALEN P,SI
ANZOÁTEGUI,3,BOLÍVAR,CESAR RODRÍGUEZ,VPA
ANZOÁTEGUI,1,ANACO,ANA MARTINEZ,ABP
ANZOÁTEGUI,1,ANACO,LUIS GUEVARA MARRON,AD
ANZOÁTEGUI,1,ANACO,RAMON RUIZ,BR
ANZOÁTEGUI,1,ANACO,JACINTO ROMERO LUNA,MPJ
ANZOÁTEGUI,1,ANACO,MARCO AURELIO Q,TISON
ANZOÁTEGUI,1,ANACO,NELSON R. LOZADA,VPA
ANZOÁTEGUI,2,ARAGUA,DIOGENES CUPARE,AD
ANZOÁTEGUI,2,ARAGUA,ESNIDEL PERALES,VPA
ANZOÁTEGUI,4,BRUZUAL,FRANCISCA ROJAS,AD
ANZOÁTEGUI,4,BRUZUAL,VANESA DE GARCIA,DR
ANZOÁTEGUI,4,BRUZUAL,EMILIO GUZMAN,MPJ
ANZOÁTEGUI,4,BRUZUAL,MANUEL CASTELLANO,PRVZL
ANZOÁTEGUI,5,CAJIGAL,CARLOS PORTILLO,COPEI
ANZOÁTEGUI,5,CAJIGAL,BENIGNO TOVAR,MPJ
ANZOÁTEGUI,18,CARVAJAL,JUAN CARLOS GARCIA,Iniciativa Propia
ANZOÁTEGUI,18,CARVAJAL,OCTAVIO  ROMERO,MPJ
ANZOÁTEGUI,18,CARVAJAL,LUISBELTRAN DIAZ,PRVZL
ANZOÁTEGUI,18,CARVAJAL,RENE RIVAS TOMAS,UNTC
ANZOÁTEGUI,14,GUANIPA,MICHAEL SILVERA,Iniciativa Propia
ANZOÁTEGUI,14,GUANIPA,JOSÉ FELIX CONES,PODEMOS
ANZOÁTEGUI,14,GUANIPA,DOMINGOBRITO,UNTC
