codigo_estado,estado,codigo_municipio,municipio,total_electores,va_a_primarias,nro_candidatos
1,Distrito Capital,1,LIBERTADOR,1592943,1,6
2,Anzoátegui,1,ANACO,84047,1,6
2,Anzoátegui,2,ARAGUA,20793,1,2
2,Anzoátegui,3,BOLÍVAR,253494,1,4
2,Anzoátegui,4,BRUZUAL,20922,1,4
2,Anzoátegui,5,CAJIGAL,9490,1,2
2,Anzoátegui,6,FREITES,50760,0,0
2,Anzoátegui,7,INDEPENDENCIA,22291,1,4
2,Anzoátegui,8,LIBERTAD,12715,1,3
2,Anzoátegui,9,MIRANDA,30215,0,0
2,Anzoátegui,10,MONAGAS,14574,0,0
2,Anzoátegui,11,PEÑALVER,20830,0,0
2,Anzoátegui,12,SIMÓN RODRÍGUEZ,109824,1,4
2,Anzoátegui,13,SOTILLO,161732,0,0
2,Anzoátegui,14,GUANIPA,49589,1,4
2,Anzoátegui,15,GUANTA,23098,1,3
2,Anzoátegui,16,PÍRITU,17274,1,3
2,Anzoátegui,17,DIEGO BAUTISTA URBANEJA,31117,1,6
2,Anzoátegui,18,CARVAJAL,9405,1,4
2,Anzoátegui,19,SANTA ANA,7554,0,0
2,Anzoátegui,20,McGREGOR,7402,1,2
2,Anzoátegui,21,SAN JUAN DE CAPISTRANO,6766,1,3
3,Apure,1,ACHAGUAS,37655,1,4
3,Apure,2,MUÑOZ,19588,1,2
3,Apure,3,PAEZ,64685,1,5
3,Apure,4,PEDRO CAMEJO,20359,1,2
3,Apure,5,RÓMULO GALLEGOS,17402,1,3
3,Apure,6,SAN FERNANDO,103131,1,3
3,Apure,7,BIRUACA,34140,1,0
4,Aragua,1,GIRARDOT,334357,1,7
4,Aragua,2,SANTIAGO MARIÑO,128125,1,7
4,Aragua,3,JOSÉ FELIX RIBAS,99426,1,8
4,Aragua,4,SAN CASIMIRO,17673,1,3
4,Aragua,5,SAN SEBASTIÁN,15599,1,4
4,Aragua,6,SUCRE,79882,1,6
4,Aragua,7,RAFAEL URDANETA,15081,1,3
4,Aragua,8,EZEQUIEL ZAMORA,90133,1,6
4,Aragua,9,LIBERTADOR,58164,1,6
4,Aragua,10,JOSÉ ÁNGEL LAMAS,21820,1,5
4,Aragua,11,BOLÍVAR,28610,1,3
4,Aragua,12,SANTOS MICHELENA,23090,1,3
4,Aragua,13,MARIO BRICEÑO IRAGORRY,76060,1,10
4,Aragua,14,TOVAR,11897,1,2
4,Aragua,15,CAMATAGUA,11515,1,3
4,Aragua,16,JOSÉ RAFAEL REVENGA,29453,1,4
4,Aragua,17,FRANCISCO LINARES ALCÁNTARA,80783,1,3
4,Aragua,18,OCUMARE DE LA COSTA,8240,1,7
5,Barinas,1,ARISMENDI,16790,1,4
5,Barinas,2,BARINAS,211919,1,5
5,Barinas,3,BOLÍVAR,34391,1,3
5,Barinas,4,EZEQUIEL ZAMORA,35293,1,4
5,Barinas,5,OBISPOS,23559,1,2
5,Barinas,6,PEDRAZA,41135,1,2
5,Barinas,7,ROJAS,25773,1,5
5,Barinas,8,SOSA,16057,1,2
5,Barinas,9,ALBERTO ARVELO,26453,1,4
5,Barinas,10,ANTONIO JOSÉ DE SUCRE,45543,1,4
5,Barinas,11,CRUZ PAREDES,17522,1,4
5,Barinas,12,ANDRÉS ELOY BLANCO,11705,1,3
6,Bolívar,1,ANGOSTURA,444995,1,2
6,Bolívar,2,GRAN SABANA,42689,1,10
6,Bolívar,3,EL CALLAO,215715,0,0
6,Bolívar,4,PADRE PEDRO CHIÉN,69380,0,0
6,Bolívar,5,CARONÍ,16062,1,13
6,Bolívar,6,CEDEÑO,16855,1,5
6,Bolívar,7,HERES,28565,0,0
6,Bolívar,8,PIAR,26691,1,7
6,Bolívar,9,ROSCIO,20177,1,3
6,Bolívar,10,SUCRE,15772,1,5
6,Bolívar,11,SIFONTES,11342,0,0
7,Carabobo,1,BEJUMA,31894,1,9
7,Carabobo,2,CARLOS ARVELO,95050,0,0
7,Carabobo,3,DIEGO IBARRA,63645,0,0
7,Carabobo,4,GUACARA,111278,1,6
7,Carabobo,5,MONTALBÁN,16093,0,0
7,Carabobo,6,JUAN JOSÉ MORA,46528,0,0
7,Carabobo,7,PUERTO CABELLO,135995,0,0
7,Carabobo,8,SAN JOAQUÍN,36655,0,0
7,Carabobo,9,VALENCIA,566122,0,0
7,Carabobo,10,MIRANDA,18636,0,0
7,Carabobo,11,LOS GUAYOS,92172,0,0
7,Carabobo,12,NAGUANAGUA,96472,0,0
7,Carabobo,13,SAN DIEGO,57630,0,0
7,Carabobo,14,LIBERTADOR,105629,0,0
8,Cojedes,1,ANZOÁTEGUI,11433,1,2
8,Cojedes,2,FALCÓN,60330,1,8
8,Cojedes,3,GIRARDOT,8861,1,3
8,Cojedes,4,PAO DE SAN JUAN BAUTISTA,11979,1,3
8,Cojedes,5,RICAURTE,9967,1,4
8,Cojedes,6,SAN CARLOS,67708,1,8
8,Cojedes,7,TINACO,22223,1,6
8,Cojedes,8,LIMA BLANCO,8264,1,3
8,Cojedes,9,RÓMULO GALLEGOS,13650,1,3
9,Falcón,1,ACOSTA,14021,1,4
9,Falcón,2,BOLÍVAR,7094,1,2
9,Falcón,3,BUCHIVACOA,17057,1,3
9,Falcón,4,CARIRUBANA,151785,1,2
9,Falcón,5,COLINA,25354,0,0
9,Falcón,6,DEMOCRACIA,8776,1,2
9,Falcón,7,FALCÓN,35918,1,4
9,Falcón,8,FEDERACIÓN,19618,1,5
9,Falcón,9,MAUROA,16351,1,6
9,Falcón,10,MIRANDA,131010,1,7
9,Falcón,11,PETIT,10498,1,6
9,Falcón,12,SILVA,21576,1,3
